english,malayalam
Harshavardhana,ഹർഷവർധന
"In 326 BC, Alexander invaded India, after crossing the river Indus he advanced towards Taxila. He then challenged king Porus , ruler of the kingdom between the rivers Jhelum and Chenab. The Indians were defeated in the fierce battle, even though they fought with elephants, which the Macedonians had never before seen. Alexander captured Porus and, like the other local rulers he had defeated, allowed him to continue to govern his territory.","ക്രി.മു. 326-ൽ അലക്സാണ്ടർ ഇന്ത്യ ആക്രമിച്ചു, സിന്ധു നദി മുറിച്ചുകടന്ന് ടാക്‌സിലയിലേക്ക് നീങ്ങി. തുടർന്ന് അദ്ദേഹം ഝലം , ചെനാബ് നദികൾക്കിടയിലെ രാജ്യത്തിന്റെ ഭരണാധികാരിയായ പോറസ് രാജാവിനെ വെല്ലുവിളിച്ചു. മാസിഡോണിയക്കാർ മുമ്പൊരിക്കലും കണ്ടിട്ടില്ലാത്ത ആനകളുമായി യുദ്ധം ചെയ്തിട്ടും കടുത്ത യുദ്ധത്തിൽ ഇന്ത്യക്കാർ അവരോട് പ രാജയപ്പെട്ടു. അലക്സാണ്ടർ പോറസിനെയും കീഴടക്കിയെങ്കിലും , അദ്ദേഹം പരാജയപ്പെടുത്തിയ മറ്റ് പ്രാദേശിക ഭരണാധികാരികളെപ്പോലെ, തന്റെ പ്രദേശം തുടർന്നു ഭരിക്കുവാൻ അനുവദിച്ചു."
"The ruins of buildings and other things like household articles, weapons of war, gold and silver ornaments, seals, toys, pottery wares, etc., show that some four to five thousand years ago a highly developed Civilization flourished in this region.","കെട്ടിടങ്ങളുടെ അവശിഷ്ടങ്ങൾ, വീട്ടുപകരണങ്ങൾ, യുദ്ധായുധങ്ങൾ, സ്വർണ്ണ, വെള്ളി ആഭരണങ്ങൾ, മുദ്രകൾ, കളിപ്പാട്ടങ്ങൾ, മൺപാത്ര സാധനങ്ങൾ തുടങ്ങിയവ കാണിക്കുന്നത് നാലോ അയ്യായിരം വർഷങ്ങൾക്ക് മുമ്പ് ഈ പ്രദേശത്ത് വളരെയധികം വികസിതമായ ഒരു നാഗരികത വളർന്നുവന്നിരുന്നു എന്നാണ് ."
"School organization refers to how schools arrange the resources of time, space and personnel for maximum effect on student learning. Every aspect of the instructional programme will convey the values and goals of the staff toward students and their learning.","വിദ്യാർത്ഥികളുടെ പഠനത്തെ പരമാവധി സ്വാധീനിക്കുന്നതിനായി സമയം, സ്ഥലം, ഉദ്യോഗസ്ഥർ എന്നിവരുടെ വിഭവങ്ങൾ സ്കൂളുകൾ എങ്ങനെ ക്രമീകരിക്കുന്നുവെന്ന് സ്കൂൾ ഓർഗനൈസേഷൻ സൂചിപ്പിക്കുന്നു. പ്രബോധന പരിപാടിയുടെ എല്ലാ വശങ്ങളും വിദ്യാർത്ഥികളോടും അവരുടെ പഠനത്തോടും സ്റ്റാഫിന്റെ മൂല്യങ്ങളും ലക്ഷ്യങ്ങളും അറിയിക്കും."
The city of destiny,വിധിയുടെ നഗരം
"History says Visakhapatnam was ruled by king Visakha Varma, who built a temple here in the name of Lord Visakha and hence the city was minted.","വിശാഖപട്ടണം ഭരിച്ചിരുന്നത് വിശാഖ വർമ്മ, വിശാഖ പ്രഭുവിന്റെ പേരിൽ ഇവിടെ ഒരു ക്ഷേത്രം പണിയുകയും , അതിനാൽ നഗരം പരിപുഷ്ടമാവുകയും ചെയ്തു എന്നാണ് ചരിത്രം ."
Ionic Bonds,അയോണിക് ബോണ്ടുകള്‍
"Organizing, like planning, must be a carefully worked out and applied process. This process involves determining what work is needed to accomplish the goal, assigning those tasks to individuals, and arranging those individuals in a decision-making framework. The end result of the organizing process is an organization- a whole consisting of unified parts acting in harmony to execute tasks to achieve goals, both effectively and efficiently.","ആസൂത്രണം ചെയ്യുന്നത് പോലെ ഓർഗനൈസുചെയ്യുന്നത് ശ്രദ്ധാപൂർവ്വം തയ്യാറാക്കിയതും പ്രയോഗത്തിൽ വരുത്തുന്നതുമായ പ്രക്രിയയായിരിക്കണം. ലക്ഷ്യം കൈവരിക്കുന്നതിന് എന്ത് ജോലിയാണ് വേണ്ടതെന്ന് നിർണ്ണയിക്കുക, ആ ചുമതലകൾ വ്യക്തികൾക്ക് നൽകുക, തീരുമാനമെടുക്കുന്ന ചട്ടക്കൂടിൽ ആ വ്യക്തികളെ ക്രമീകരിക്കുക എന്നിവ ഈ പ്രക്രിയയിൽ ഉൾപ്പെടുന്നു. ഓർഗനൈസിംഗ് പ്രക്രിയയുടെ അന്തിമഫലം ഒരു ഓർഗനൈസേഷനാണ്-ലക്ഷ്യങ്ങൾ നേടുന്നതിനുള്ള ചുമതലകൾ ഫലപ്രദമായും കാര്യക്ഷമമായും നിർവഹിക്കുന്നതിന് യോജിപ്പിച്ച് പ്രവർത്തിക്കുന്ന ഏകീകൃത ഭാഗങ്ങൾ."
A difference in charge arises in different areas of the atom due to the uneven spacing of the electrons between the atoms.One end of the molecule tends to be partially positively charged and the other end tends to be partially negatively charged.,ആറ്റങ്ങൾ തമ്മിൽ ഇലക്ട്രോണുകൾ തമ്മിലുള്ള വിടവ് കാരണം ആറ്റത്തിന്റെ വിവിധ പ്രദേശങ്ങളിൽ ചാർജ് വ്യത്യാസപ്പെടുന്നു.തന്മാത്രയുടെ ഒരു അറ്റത്ത്‌ ഭാഗികമായി പോസിറ്റീവ് ചാർജും മറ്റേ അറ്റത്ത്‌ ഭാഗികമായി നെഗറ്റീവ് ചാർജും ആയിരിക്കും .
Hydrogen bonding in water,ഹൈഡ്രജൻ ബോണ്ട് വെള്ളം
"The History of India begins with the birth of the Indus Valley Civilization, more precisely known as Harappan Civilization.It flourished around 2,500 BC, in the western part of South Asia, what today is Pakistan and Western India.The Indus Valley was home to the largest of the four ancient urban civilizations of Egypt, Mesopotamia, India and China.","ഇന്ത്യയുടെ ചരിത്രം ആരംഭിക്കുന്നത് സിന്ധൂനദീതട നാഗരികതയുടെ ജനനത്തോടെയാണ്, കൂടുതൽ കൃത്യമായി ഹാരപ്പൻ നാഗരികത എന്നറിയപ്പെടുന്നു.ബിസി 2500 ഓടെ ഇത് വളർന്നു, ദക്ഷിണേഷ്യയുടെ പടിഞ്ഞാറൻ ഭാഗത്ത്, ഇന്ന് പാകിസ്ഥാനും പടിഞ്ഞാറൻ ഇന്ത്യയും.ഈജിപ്ത്, മെസൊപ്പൊട്ടേമിയ, ഇന്ത്യ, ചൈന എന്നീ നാല് പുരാതന നഗര നാഗരികതകളിൽ ഏറ്റവും വലുതാണ് സിന്ധു താഴ്‌വര ."
"School education is in a constant process of change. There is always a need to facilitate student learning in a specified direction in this changing process. School organization, which includes the management of teaching, planning and supervision of instruction, can help to achieve the goal of student learning. Therefore, we need school organization to achieve the above goals.","സ്കൂൾ വിദ്യാഭ്യാസം നിരന്തരമായ മാറ്റത്തിന്റെ പ്രക്രിയയിലാണ്. മാറുന്ന ഈ പ്രക്രിയയിൽ ഒരു നിശ്ചിത ദിശയിൽ വിദ്യാർത്ഥികളുടെ പഠനം സുഗമമാക്കേണ്ട ആവശ്യമുണ്ട്. അദ്ധ്യാപനത്തിന്റെ നടത്തിപ്പ്, ആസൂത്രണം, പ്രബോധനത്തിന്റെ മേൽനോട്ടം എന്നിവ ഉൾപ്പെടുന്ന സ്കൂൾ ഓർഗനൈസേഷൻ വിദ്യാർത്ഥികളുടെ പഠന ലക്ഷ്യം കൈവരിക്കാൻ സഹായിക്കും. അതിനാൽ, മുകളിലുള്ള ലക്ഷ്യങ്ങൾ നേടുന്നതിന് ഞങ്ങൾക്ക് സ്കൂൾ ഓർഗനൈസേഷൻ ആവശ്യമാണ്."
"Welcome friends to a new session on organizational process in schools. In this session, we will discuss the meaning of school organization. We will also see the objectives, scope and importance, principles of school organization. Lastly, we will discuss school as a social organization.","സ്കൂളുകളിലെ സംഘടനാ പ്രക്രിയയെക്കുറിച്ചുള്ള ഒരു പുതിയ സെഷനിലേക്ക് സുഹൃത്തുക്കളെ സ്വാഗതം ചെയ്യുക. ഈ സെഷനിൽ, സ്കൂൾ ഓർഗനൈസേഷന്റെ അർത്ഥം ഞങ്ങൾ ചർച്ച ചെയ്യും. സ്കൂൾ ഓർഗനൈസേഷന്റെ ലക്ഷ്യങ്ങൾ, വ്യാപ്തി, പ്രാധാന്യം, തത്വങ്ങൾ എന്നിവയും ഞങ്ങൾ കാണും. അവസാനമായി, സ്കൂളിനെ ഒരു സാമൂഹിക സംഘടനയായി ഞങ്ങൾ ചർച്ച ചെയ്യും."
"During the life time of Lord Gautam Buddha, sixteen great powers (Mahajanpadas) existed in the 7th and early 6th centuries BC. Among the more important republics were the Sakyas of Kapilavastu and the Licchavis of Vaishali.","ഗൗതമ ബുദ്ധന്റെ ജീവിതകാലത്ത്, ബിസി ഏഴാം നൂറ്റാണ്ടിലും ആറാം നൂറ്റാണ്ടിന്റെ തുടക്കത്തിലും പതിനാറ് മഹത്തായ ശക്തികൾ (മഹാജൻപദങ്ങൾ) നിലനിന്നിരുന്നു. ഏറ്റവും പ്രധാനപ്പെട്ട റിപ്പബ്ലിക്കുകളിൽ കപിലവാസ്തുവിലെ സാക്യന്മാരും വൈശാലിയുടെ ലിച്ചവിയും ഉൾപ്പെടുന്നു."
Gupta Dynasty,ഗുപ്ത രാജവംശം
"In 620 A.D. Harshavardhana invaded the Chalukya kingdom in the Deccan, which was then ruled by Pulakesin II. But the Chalukya resistance proved tough for Harshavardhana and he was defeated.","620-ൽ എ.ഡി. ഹർഷവർധനൻ അന്ന് പുലികേശി രണ്ടാമൻ ഭരിച്ചിരുന്ന ഡെക്കാനിലെ ചാലൂക്യ സാമ്രാജ്യത്തെ ആക്രമിച്ചു, . എന്നാൽ ചാലൂക്യരുടെ കഠിനമായ ചെറുത്തുനിൽപ്പ് ഹർഷവർധനനെ പരാജയപ്പെടുത്തി."
"Sears: J. B. Sears considers organization as a machine for doing work. It may be composed primarily of persons, of materials, of ideas, of concepts, symbols, forms, rules, principles or more often, of a combination of these. The machine may work automatically or its operation may be subject to human judgement and will.","സിയേഴ്സ്: ജെ. ബി. സിയേഴ്സ് ഓർഗനൈസേഷനെ ജോലി ചെയ്യുന്നതിനുള്ള ഒരു യന്ത്രമായി കണക്കാക്കുന്നു. ഇത് പലപ്പോഴും പ്രാഥമികമായി വ്യക്തികൾ, മെറ്റീരിയലുകൾ, ആശയങ്ങൾ, ആശയങ്ങൾ, ചിഹ്നങ്ങൾ, രൂപങ്ങൾ, നിയമങ്ങൾ, തത്ത്വങ്ങൾ എവയുടെ സംയോജനമാണ്. മെഷീൻ യാന്ത്രികമായി പ്രവർത്തിക്കാം അല്ലെങ്കിൽ അതിന്റെ പ്രവർത്തനം മനുഷ്യന്റെ ന്യായവിധിക്കും ഇച്ഛയ്ക്കും വിധേയമാകാം."
"﻿Hello everyone, welcome back to the session. So, in this session we will learn about the texturing, shading, texturing types and how we can assign the texture and the shading upon any model. Hope you have enjoyed the modeling and now you are able to create any kind of prop model in detail in Autodesk Maya application. So, after completing the modeling, it’s a time to start texturing and the shading. The procedure of applying the texture and the color to an object to create a drendrable is the called texturing process.","എല്ലാവര്‍ക്കും നമസ്കാരം . അതിനാൽ , ടെക്സ്റ്റിംഗ് , ഷേഡിംഗ് , ടെക്സ്ചറിംഗ് തരം , ടെക്സ്ചർ എന്നിവ സംബന്ധിച്ച് ഈ സെഷനിൽ നമ്മൾ പഠിക്കും . മോഡലിംഗ് നിങ്ങൾ ആസ്വദിച്ചിട്ടുണ്ടെന്ന് പ്രതീക്ഷിക്കുന്നു , ഇപ്പോൾ ഓട്ടോഡെസ്‌ക് മായ ആപ്ലിക്കേഷനിൽ നിങ്ങൾക്ക് ഏതെങ്കിലും തരത്തിലുള്ള പ്രോപ്പ് മാതൃക സൃഷ്ടിക്കാൻ കഴിയും . അതിനാൽ , മോഡലിംഗ് പൂർത്തിയാക്കിയ ശേഷം , ടെക്സ്റ്റിംഗും ഡിസൈനും ആരംഭിക്കാനുള്ള സമയമാണിത് . ടെക്സ്ചറും നിറവും ഒരു വസ്തു സൃഷ്ടിക്കുന്നതിനുള്ള പ്രക്രിയയാണ് ടെക്സ്റ്റിംഗ് പ്രക്രിയ ."
"Tourists visiting the valley can also visit Araku Tribal Museum, which gives a detailed insight into the lives of the people of Araku Valley by taking you through their rich history.","താഴ്വര സന്ദർശിക്കുന്ന സഞ്ചാരികൾക്ക് അരക്കു ട്രൈബൽ മ്യൂസിയവും സന്ദർശിക്കാം, ഇത് അരക്കു താഴ്വരയിലെ ജനങ്ങളുടെ ജീവിതത്തെക്കുറിച്ച് വിശദമായ ഉൾക്കാഴ്ച നൽകുന്നു."
"The other atom develops a positive charge and is called the cation.The ionic bond gains strength from the difference in charge between the two atoms, i.e. the greater the charge disparity between the cation and the anion, the stronger the ionic bond.","മറ്റൊരു ആറ്റം പോസിറ്റീവ് ചാർജ് വികസിപ്പിക്കുകയും അതിനെ cation എന്ന് വിളിക്കുകയും ചെയ്യുന്നു.രണ്ട് ആറ്റങ്ങൾ തമ്മിലുള്ള ചാർജിൽ വ്യത്യാസം അയോണിക് ബോണ്ടിന് ശക്തി നൽകുന്നു. സംയോജനവും അനിയനും തമ്മിലുള്ള അധികാര വ്യത്യാസം , അയോണിക ബന്ധം ശക്തിപ്പെടുത്തുന്നു ."
Types of Chemical Bonds,കെമിക്കൽ തരം
Hydrogen Bonds,ഹൈഡ്രജൻ ബോണ്ടുകൾ
"Covalent bonds can be either be Polar or Non-Polar in nature.In Polar Covalent chemical bonding, electrons are shared unequally since the more electronegative atom pulls the electron pair closer to itself and away from the less electronegative atom.Water is an example of such a polar molecule.",കോവലന്റ് ബോണ്ടുകൾ ധ്രുവമോ ആകാം.ധ്രുവത്തിലെ കെമിക്കൽ ബോണ്ടിംഗിൽ ഇലക്ട്രോൺ ആറ്റം ഇലക്ട്രോൺ ജോഡിയെ തന്നിലേക്ക് അടുപ്പിക്കുകയും കുറഞ്ഞ ഇലക്ട്രോണിക് ആറ്റത്തിൽ നിന്ന് അകറ്റി നിർത്തുകയും ചെയ്യുന്നു.ഇത്തരം ധ്രുവതന്മാത്രകളുടെ ഉദാഹരണമാണ് ജലം .
Hi,ഹായ്
"History says Visakhapatnam was ruled by king Visakha Varma, who built a temple here in the name of Lord Visakha and hence the city was minted.","വിശാഖപട്ടണം ഭരിച്ചിരുന്നത് വിശാഖ വർമ്മയാണ്, വിശാഖ പ്രഭുവിന്റെ പേരിൽ ഇവിടെ ഒരു ക്ഷേത്രം പണിതു, അതിനാൽ നഗരം ഖനനം ചെയ്തു."
Organizational Process in Schools,സ്കൂളുകളിലെ സംഘടനാ പ്രക്രിയ
"In 620 A.D. Harshavardhana invaded the Chalukya kingdom in the Deccan, which was then ruled by Pulakesin II. But the Chalukya resistance proved tough for Harshavardhana and he was defeated.","620-ൽ എ.ഡി. ഹർഷവർധനൻ ഡെക്കാനിലെ ചാലൂക്യ സാമ്രാജ്യത്തെ ആക്രമിച്ചു, അന്ന് പുലാകെസിൻ രണ്ടാമൻ ഭരിച്ചിരുന്നു. എന്നാൽ ചാലൂക്യ ചെറുത്തുനിൽപ്പ് ഹർഷവർധനയെ കഠിനമാക്കുകയും അദ്ദേഹം പരാജയപ്പെടുകയും ചെയ്തു."
Tagline,ടാഗ് ലൈൻ
"The history of India is punctuated by constant integration of migrating people with the diverse cultures that surround India. Available evidence suggests that the use of iron, copper and other metals was widely prevalent in the Indian sub-continent at a fairly early period, which is indicative of the progress that this part of the world had made. By the end of the fourth millennium BC, India had emerged as a region of highly developed civilization.","ഇന്ത്യയെ ചുറ്റിപ്പറ്റിയുള്ള വൈവിധ്യമാർന്ന സംസ്കാരങ്ങളുമായി കുടിയേറുന്ന ആളുകളെ നിരന്തരം സംയോജിപ്പിക്കുന്നതിലൂടെയാണ് ഇന്ത്യയുടെ ചരിത്രം രേഖപ്പെടുത്തപ്പെട്ടിരിക്കുന്നത് . ഇരുമ്പ്, ചെമ്പ്, മറ്റ് ലോഹങ്ങൾ എന്നിവയുടെ ഉപയോഗം ഇന്ത്യൻ ഉപഭൂഖണ്ഡത്തിൽ വളരെ നേരത്തെ തന്നെ പ്രചാരത്തിലുണ്ടായിരുന്നു എന്നാണ് ലഭ്യമായ തെളിവുകൾ സൂചിപ്പിക്കുന്നത്. ഇത് ലോകത്തിന്റെ ഈ ഭാഗം കൈവരിച്ച പുരോഗതിയെ സൂചിപ്പിക്കുന്നു. ബിസി നാലാം സഹസ്രാബ്ദത്തിന്റെ അവസാനത്തോടെ ഇന്ത്യ വളരെ വികസിത നാഗരികതയുടെ മേഖലയായി ഉയർന്നുവന്നു."
Stead: Prof. H. G. Stead stated that the organization is an agency by which we achieve the desired objectives.,സ്ഥാനം: ഞങ്ങൾ ഉദ്ദേശിച്ച ലക്ഷ്യങ്ങൾ കൈവരിക്കുന്ന ഒരു ഏജൻസിയാണ് ഓർഗനൈസേഷൻ എന്ന് പ്രൊഫ. എച്ച്. ജി.
Meaning of Organization (School Organization),ഓർഗനൈസേഷന്റെ അർത്ഥം (സ്കൂൾ ഓർഗനൈസേഷൻ)
"Borra caves, one of the largest in the country, are a delight for adventure lovers, who get to walk to the deep reaches of the warmly-lit caves.","രാജ്യത്തെ ഏറ്റവും വലിയ ബോറ ഗുഹകൾ സാഹസിക പ്രേമികൾക്ക് ആനന്ദദായകമാണ്, അവർ ly ഷ്മളമായി പ്രകാശിക്കുന്ന ഗുഹകളുടെ ആഴമേറിയ സ്ഥലങ്ങളിലേക്ക് നടക്കുന്നു."
b) Goal Development,b) ലക്ഷ്യ വികസനം
"The most popular attraction in the valley is Chaparai Waterfall, also known as Dumbriguda Falls.","താഴ്‌വരയിലെ ഏറ്റവും പ്രശസ്തമായ ആകർഷണം ചമ്പറായി വെള്ളച്ചാട്ടമാണ്, ഇത് ഡംബ്രിഗുഡ വെള്ളച്ചാട്ടം എന്നും അറിയപ്പെടുന്നു."
"Bordered by towering mountains and lush forests, the valley makes for an ideal spot to relax and nourish your soul.",ഉയർന്ന പർവതങ്ങളും സമൃദ്ധമായ വനങ്ങളും അതിർത്തിയിൽ കിടക്കുന്ന ഈ താഴ്വര നിങ്ങളുടെ ആത്മാവിനെ വിശ്രമിക്കാനും പരിപോഷിപ്പിക്കാനും പറ്റിയ സ്ഥലമാണ്.
"Primarily an industrial city, it draws a large number of tourists throughout the year.",പ്രാഥമികമായി ഒരു വ്യാവസായിക നഗരമായ ഇത് വർഷം മുഴുവനും ധാരാളം സഞ്ചാരികളെ ആകർഷിക്കുന്നു.
Polar Bonds,പോളാർ ബോണ്ടുകൾ
"During the life time of Lord Gautam Buddha, sixteen great powers (Mahajanpadas) existed in the 7th and early 6th centuries BC. Among the more important republics were the Sakyas of Kapilavastu and the Licchavis of Vaishali.","ഗ ut തം ബുദ്ധന്റെ ജീവിതകാലത്ത്, ബിസി ഏഴാം നൂറ്റാണ്ടിലും ആറാം നൂറ്റാണ്ടിന്റെ തുടക്കത്തിലും പതിനാറ് മഹത്തായ ശക്തികൾ (മഹാജൻപദങ്ങൾ) നിലനിന്നിരുന്നു. ഏറ്റവും പ്രധാനപ്പെട്ട റിപ്പബ്ലിക്കുകളിൽ കപിലവാസ്തുവിലെ സാക്യന്മാരും വൈശാലിയുടെ ലിച്ചവിസും ഉൾപ്പെടുന്നു."
"Organizing, like planning, must be a carefully worked out and applied process. This process involves determining what work is needed to accomplish the goal, assigning those tasks to individuals, and arranging those individuals in a decision-making framework. The end result of the organizing process is an organization- a whole consisting of unified parts acting in harmony to execute tasks to achieve goals, both effectively and efficiently.","ആസൂത്രണം ചെയ്യുന്നത് പോലെ ഓർഗനൈസുചെയ്യുന്നത് ശ്രദ്ധാപൂർവ്വം തയ്യാറാക്കിയതും പ്രയോഗത്തിൽ വരുത്തുന്നതുമായ പ്രക്രിയയായിരിക്കണം. ലക്ഷ്യം കൈവരിക്കുന്നതിന് എന്ത് ജോലിയാണ് വേണ്ടതെന്ന് നിർണ്ണയിക്കുക, ആ ചുമതലകൾ വ്യക്തികൾക്ക് നൽകുക, തീരുമാനമെടുക്കുന്ന ചട്ടക്കൂടിൽ ആ വ്യക്തികളെ ക്രമീകരിക്കുക എന്നിവ ഈ പ്രക്രിയയിൽ ഉൾപ്പെടുന്നു. ഓർഗനൈസിംഗ് പ്രക്രിയയുടെ അന്തിമഫലം ഒരു ഓർഗനൈസേഷനാണ് - ലക്ഷ്യങ്ങൾ നേടുന്നതിനുള്ള ചുമതലകൾ ഫലപ്രദമായും കാര്യക്ഷമമായും നിർവഹിക്കുന്നതിന് യോജിപ്പിച്ച് പ്രവർത്തിക്കുന്ന ഏകീകൃത ഭാഗങ്ങൾ."
Visakhapatnam,വിശാഖപട്ടണം
The Buddhist Era,ബുദ്ധമത കാലഘട്ടം
Polar Covalent Bonding,ധ്രുവ് വിവാഹബന്ധം
Ryburn: “Organization simply means the practical measures which we take to ensure that the system of work we use will be of the greatest possible assistance in carrying out our aims and of the greatest benefit to our children.”,റൈബർ‌ൻ‌: “ഓർ‌ഗനൈസേഷൻ‌ എന്നതിനർത്ഥം ഞങ്ങളുടെ ലക്ഷ്യങ്ങൾ‌ നടപ്പിലാക്കുന്നതിനും ഞങ്ങളുടെ കുട്ടികൾ‌ക്ക് ഏറ്റവും വലിയ നേട്ടമുണ്ടാക്കുന്നതിനും ഞങ്ങൾ‌ ഉപയോഗിക്കുന്ന തൊഴിൽ സമ്പ്രദായം സാധ്യമായ ഏറ്റവും വലിയ സഹായമാകുമെന്ന് ഉറപ്പാക്കാൻ ഞങ്ങൾ‌ സ്വീകരിക്കുന്ന പ്രായോഗിക നടപടികളാണ്.”
Alexander's Invasion,അലക്സാണ്ടറുടെ ആക്രമണം
"Sprawling over an area of 380 acre, the park offers spectacular views of the surrounding hills and the city.",380 ഏക്കർ വിസ്തൃതിയുള്ള ഈ പാർക്ക് ചുറ്റുമുള്ള കുന്നുകളുടെയും നഗരത്തിന്റെയും മനോഹരമായ കാഴ്ചകൾ നൽകുന്നു.
"The highly civilized Harappans knew the art of growing cereals, and wheat and barley constituted their staple food. They consumed vegetables and fruits and ate mutton, pork and eggs as well. Evidences also show that they wore cotton as well as woollen garments. By 1500 BC, the Harappan culture came to an end. Among various causes ascribed to the decay of Indus Valley Civilization are the recurrent floods and other natural causes like earthquake, etc.","വളരെയധികം നാഗരികരായ ഹാരപ്പന്മാർക്ക് ധാന്യങ്ങൾ വളർത്തുന്ന കല അറിയാമായിരുന്നു, ഗോതമ്പും ബാർലിയും അവരുടെ പ്രധാന ഭക്ഷണമായിരുന്നു. അവർ പച്ചക്കറികളും പഴങ്ങളും കൂടാതെ ആട്ടിറച്ചി, പന്നിയിറച്ചി, മുട്ട എന്നിവയും കഴിച്ചിരുന്നു. പരുത്തിയും കമ്പിളി വസ്ത്രങ്ങളും അവർ ധരിച്ചിരുന്നുവെന്നും തെളിവുകൾ വ്യക്തമാക്കുന്നു. ബിസി 1500 ഓടെ ഹാരപ്പൻ സംസ്കാരം അവസാനിച്ചു. സിന്ധൂനദീതട നാഗരികതയുടെ അപചയത്തിന് കാരണമായ വിവിധ കാരണങ്ങളിൽ ആവർത്തിച്ചുള്ള വെള്ളപ്പൊക്കവും ഭൂകമ്പം പോലുള്ള പ്രകൃതിദത്ത കാരണങ്ങളും ഉൾപ്പെടുന്നു."
Elsbree: “Organization of a school is the administrative expression of educational theory.”,എൽസ്ബ്രീ: “വിദ്യാഭ്യാസ സിദ്ധാന്തത്തിന്റെ ഭരണപരമായ പ്രകടനമാണ് ഒരു സ്കൂ ഓർഗനൈസേഷൻ.”
"Compared to ionic and covalent bonding, Hydrogen bonding is a weaker form of chemical bonding.It is a type of polar covalent bonding between oxygen and hydrogen wherein the hydrogen develops a partial positive charge.This implies that the electrons are pulled closer to the more electronegative oxygen atom.","അയോണിക് , കോവലന്റ് ബോണ്ടിംഗ് എന്നിവയുമായി താരതമ്യപ്പെടുത്തുമ്പോൾ ഹൈഡ്രജൻ ബോണ്ടിംഗ് ഒരു ദുർബലമായ രാസ ബന്ധനമാണ്.ഹൈഡ്രജൻ ഭാഗിക പോസിറ്റീവ് ചാർജ് വികസിപ്പിക്കുന്ന ഓക്സിജനും ഹൈഡ്രജനും തമ്മിലുള്ള ഒരു തരം ധ്രുവകോവലന്റ് ബന്ധനമാണിത്.ഇലക്ട്രോണുകൾ കൂടുതൽ ഇലക്ട്രോണിക് ഓക്സിജൻ ആറ്റത്തോട് അടുക്കുന്നു എന്നാണ് ഇത് സൂചിപ്പിക്കുന്നത് ."
India is a country of ancient culture and civilization.India is member of United Nations.It is a vast land so is full of diversities.It spreads from Kashmir to Kanyakumari and from Kutch to Imphal.People here in India have faith in various religions.,പുരാതന സംസ്കാരത്തിന്റെയും നാഗരികതയുടെയും രാജ്യമാണ് ഇന്ത്യ.ഇന്ത്യ ഐക്യരാഷ്ട്രസഭയിൽ അംഗമാണ്.വൈവിധ്യമാർന്ന സ്ഥലമായതിനാൽ ഇത് വിശാലമായ ഭൂമിയാണ്.ഇത് കശ്മീർ മുതൽ കന്യാകുമാരി വരെയും കച്ച് മുതൽ ഇംഫാൽ വരെയും വ്യാപിക്കുന്നു.ഇന്ത്യയിലെ ആളുകൾക്ക് വിവിധ മതങ്ങളിൽ വിശ്വാസമുണ്ട് .
"Harshavardhana is well known for his religious toleration, able administration and diplomatic relations. He maintained diplomatic relations with China and sent envoys, who exchanged ideas of the Chinese rulers and developed their knowledge about each other.","മതപരമായ സഹിഷ്ണുത, കഴിവുള്ള ഭരണനിർവ്വഹണം, നയതന്ത്രബന്ധം എന്നിവയ്ക്ക് ഹർഷവർധനൻ പ്രശസ്തനാണ്. ചൈനയുമായി നയതന്ത്രബന്ധം പുലർത്തുകയും ദൂതന്മാർ മുഖാന്തിരം ചൈനീസ് ഭരണാധികാരികളുമായി ആശയങ്ങൾ കൈമാറുകയും പരസ്പരം അറിവ് വികസിപ്പിക്കുകയും ചെയ്തു ."
"Located at a height of 2,990 ft, the mountain ranges of the Eastern Ghats make for a great escape for nature lovers and adventure enthusiasts.","2,990 അടി ഉയരത്തിൽ സ്ഥിതിചെയ്യുന്ന കിഴക്കൻ ഘട്ടത്തിലെ പർവതനിരകൾ പ്രകൃതിസ്‌നേഹികൾക്കും സാഹസികത ഇഷ്ടപ്പെടുന്നവർക്കും ഒരു മികച്ച രക്ഷപ്പെടലാണ്."
"Sprawling along the pristine waters of the Bay of Bengal, Visakhapatnam, the largest city of Andhra Pradesh, is a beach paradise.",ആന്ധ്രാപ്രദേശിലെ ഏറ്റവും വലിയ നഗരമായ വിശാഖപട്ടണം ബംഗാൾ ഉൾക്കടലിന്റെ തീരത്ത് വ്യാപിച്ചുകിടക്കുന്ന ഒരു ബീച്ച് പറുദീസയാണ്.
