english,malayalam
"We would like to assure you, that the amount of blood taken will be minimal and will not cause any major discomfort to your child. All the laboratory sample collection will be performed by experienced health care workers only.",എടുക്കുന്ന രക്തത്തിന്റെ അളവ് വളരെ കുറവായിരിക്കുമെന്നും അത് നിങ്ങളുടെ കുട്ടിക്ക് വലിയ അസ്വസ്ഥതകൾ ഉണ്ടാക്കില്ലെന്നും ഞങ്ങൾ നിങ്ങൾക്ക് ഉറപ്പ് നൽകുന്നു. എല്ലാ ലബോറട്ടറി സാമ്പിൾ ശേഖരണവും പരിചയസമ്പന്നരായ ആരോഗ്യ പരിപാലന പ്രവർത്തകർ മാത്രമായിരിക്കും നടത്തുന്നത്.
You will be told about any new information that may affect whether you want to continue to take part in the Registry.,നിങ്ങൾ രജിസ്ട്രിയിൽ തുടർന്നും പങ്കെടുക്കാൻ ആഗ്രഹിക്കുന്നുണ്ടോ എന്നതിനെ ബാധിക്കുന്ന ഏതെങ്കിലും പുതിയ വിവരങ്ങളെ കുറിച്ച് നിങ്ങളോട് പറയും.
"• You will be asked to provide some personal information such as age and job, some questions relating to the bite and undergo a medical examination.","പ്രായം, ജോലി എന്നിങ്ങനെയുള്ള ചില വ്യക്തിഗത വിവരങ്ങൾ, പാമ്പു കടിയുമായി ബന്ധപ്പെട്ട ചില ചോദ്യങ്ങൾ എന്നിവ ചോദിക്കുകയും, മെഡിക്കൽ പരിശോധനയ്ക്ക് വിധേയമാകാന്‍ നിങ്ങളോട് ആവശ്യപ്പെടുകയും ചെയ്യും."
Subject’s Initials: __________________,സബ്ജക്റ്റിന്‍റെ ഇനിഷ്യലുകൾ: __________________
There is no need to pay extra apart from your routine payment as per institutional rules and regulations. Additional tests done as a part of research will be done free of cost.,സ്ഥാപന നിയമങ്ങളും ചട്ടങ്ങളും അനുസരിച്ച് നിങ്ങൾ പതിവായി കൊടുക്കുന്ന പണത്തിനു പുറമെ അധികമായി നൽകേണ്ട ആവശ്യമില്ല. ഗവേഷണത്തിന്റെ ഭാഗമായി ചെയ്യുന്ന അധിക പരിശോധനകൾ സൌജന്യമായി നടത്തും.
(Click here for Audio Visual guidelines),(ഓഡിയോ വിഷ്വൽ ഗൈഡ്ലൈനുകൾക്കായി ഇവിടെ ക്ലിക്ക് ചെയ്യുക)
- Platelets,- പ്ലേറ്റ്ലറ്റ്സ്
iii. Comorbidities history,iii. അസുഖത്തോടൊപ്പം ഉള്ള മറ്റ് രോഗങ്ങളുടെ ചരിത്രം
Date: _____/_____/______,തീയതി: _____ / _____ / ______
Scientific evidence supports preparing newly diagnosed cancer patients to make their health better before starting cancer treatments. This is done by understanding your current health and by predicting the effects of cancer treatment that can negatively affect your health.,കാൻസർ ചികിത്സകൾ ആരംഭിക്കുന്നതിന് മുമ്പ് പുതുതായി രോഗനിർണയം നടത്തിയ കാൻസർ രോഗികളെ അവരുടെ ആരോഗ്യം മെച്ചപ്പെടുത്തുന്നതിന് തയ്യാറാക്കുന്നതിനെ ശാസ്ത്രീയ തെളിവുകൾ പിന്തുണയ്ക്കുന്നു. നിങ്ങളുടെ നിലവിലെ ആരോഗ്യം മനസിലാക്കുന്നതിലൂടെയും നിങ്ങളുടെ ആരോഗ്യത്തെ പ്രതികൂലമായി ബാധിക്കുന്ന കാൻസർ ചികിത്സയുടെ ഫലങ്ങൾ പ്രവചിക്കുന്നതിലൂടെയുമാണ് ഇത് ചെയ്യുന്നത്.
"What about privacy, authorization for use of Personal Health Information and confidentiality?",സ്വകാര്യതയെക്കുറിച്ചും വ്യക്തിഗത ആരോഗ്യ വിവരങ്ങളുടെ ഉപയോഗത്തിനുള്ള അംഗീകാരത്തെക്കുറിച്ചും രഹസ്യസ്വഭാവത്തെക്കുറിച്ചുമുള്ള നിലപാട് എന്താണ്?
5. Other investigations:,5. മറ്റ് അന്വേഷണങ്ങൾ:
You are eligible to participate in this study as you are diagnosed with a neurological condition and planned for surgery under general anaesthesia . Dexmedetomidine infusion is given to decrease the incidence of post operative delirium and provide stable haemodynamics.,നിങ്ങൾക്ക് ഒരു ന്യൂറോളജിക്കൽ അവസ്ഥ ഉണ്ടെന്ന് കണ്ടെത്തുകയും ജനറൽ അനസ്തേഷ്യയിൽ ശസ്ത്രക്രിയയ്ക്ക് ആസൂത്രണം ചെയ്യുകയും ചെയ്യുന്നതിനാൽ ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങൾക്ക് അർഹതയുണ്ട്. പോസ്റ്റ് ഓപ്പറേറ്റീവ് ഡിലൈറിയം കുറയ്ക്കുന്നതിനും സ്ഥിരമായ ഹീമോഡൈനാമിക്സ് നൽകുന്നതിനുമാണ് ഡെക്സ്മെഡെറ്റോമിഡിൻ ഇൻഫ്യൂഷൻ നൽകുന്നത്.
Informed Consent Form for Subjects,പങ്കെടുക്കുന്നയാളുകൾക്കുള്ള ഇൻഫോംഡ് കൺസെന്റ് ഫോം
What are the possible benefits of taking part?,പങ്കെടുക്കുന്നതിന്റെ സാധ്യമായ നേട്ടങ്ങൾ എന്തൊക്കെയാണ്?
Donor ID:,ഡോണര്‍ ഐഡി:
Some other investigations maybe performed during your childs stay in the hospital to carefully monitor your lung and cardiac function. These tests are non-invasive and will not hurt your child.,"നിങ്ങളുടെ കുട്ടി ആശുപത്രിയില്‍ ആയിരിക്കുമ്പോള്‍ കുട്ടിയുടെ ശ്വാസകോശ, ഹൃദയ പ്രവര്‍ത്തനങ്ങള്‍ നിരീക്ഷിക്കുന്നതിനായി മറ്റു ചില പരിശോധനകള്‍ നടത്തപ്പെടും. ഈ പരിശോധനകള്‍ കുട്ടിയെ ഒരു വിധത്തിലും ശല്യപ്പെടുത്തുന്നവയല്ല."
What will happen after the study is over?,പഠനം കഴിഞ്ഞാൽ എന്ത് സംഭവിക്കും?
"I understand that if a stem cell line is made, that it will be stored in a stem cell bank and that it may be used in research, development of drugs and treatments.","ഒരു സ്റ്റെം സെൽ ലൈൻ ഉണ്ടാക്കി കഴിഞ്ഞാൽ, അത് ഒരു സ്റ്റെം സെൽ ബാങ്കിൽ സ്റ്റോര്‍ ചെയ്യുമെന്നും അത് ഗവേഷണത്തിലും മരുന്നുകളുടെയും ചികിത്സയിലെയും വികസനത്തിലും ഉപയോഗിക്കുമെന്നും ഞാൻ മനസ്സിലാക്കുന്നു."
2. Definite (according to patient) weight loss.,2. കൃത്യമായ (രോഗി അനുസരിച്ച്) ശരീരഭാരം കുറയ്ക്കൽ.
Representative:,പ്രതിനിധി
1 Height of the Child (cms),1 കുട്ടിയുടെ ഉയരം (സെ.)
Signature or thumb impression of the Witness: Date://,സാക്ഷിയുടെ ഒപ്പ് അല്ലെങ്കിൽ വിരലടയാളം: തീയതി://
2. Obvious retardation during the interview.,2. അഭിമുഖത്തിനിടെ പ്രകടമായ മന്ദത.
Will I have to pay for the check up?,പരിശോധനക്കായി ഞാൻ പണം നൽകേണ്ടിവരുമോ?
"I understand that I can withdraw my consent without giving any reason, until my cells have been used in to make iPSC lines without my medical care or legal rights being affected.","എന്റെ മെഡിക്കൽ പരിചരണമോ നിയമപരമായ അവകാശങ്ങളോ ബാധിക്കാതെ iPSC ലൈനുകൾ നിർമ്മിക്കാൻ എന്റെ കോശങ്ങള്‍ ഉപയോഗിക്കുന്നതുവരെ, ഒരു കാരണവും പറയാതെ തന്നെ എന്റെ സമ്മതം പിൻവലിക്കാനാകുമെന്ന് ഞാൻ മനസ്സിലാക്കുന്നു."
Or contact the Principal Investigator:,അല്ലെങ്കിൽ പ്രധാന അന്വേഷകനെ ബന്ധപ്പെടുക:
Each participant enrolled in this study will be assessed for dry eye’s and for meibomian gland dysfunction. Helps the patient to understand the disease and to motivate them for regular follow up. Patients with severe disease will be appropriately treated with lubricants.,"ഈ പഠനത്തിൽ പങ്കെടുത്ത ഓരോ വ്യക്തിയുടെയും കണ്ണിന്റെ വരൾച്ചയും മെബോമിയൻ ഗ്രന്ഥിയുടെ പ്രവർത്തന വൈകല്യവും വിലയിരുത്തപ്പെടും. രോഗിയെ, രോഗത്തെ കുറിച്ച് മനസ്സിലാക്കാനും പതിവായി പരിശോധനകൾ നടത്തുന്നതിന് അവരെ പ്രേരിപ്പിക്കാനും സഹായിക്കുന്നു. ഗുരുതരമായ രോഗമുള്ള രോഗികൾക്ക് ലൂബ്രിക്കന്റുകൾ ഉപയോഗിച്ച് ഉചിതമായ ചികിത്സ നൽകും."
The results of this study will be described in a report which may be published as a paper or presented in a conference. At no time will any identifying characteristics of any of the participants be used. Your privacy will be maintained – your records will be accessed only by the investigators of the study and by your treating physicians.,ഈ പഠനത്തിന്റെ റിസൾട്ടുകൾ ഒരു പേപ്പറായി പ്രസിദ്ധീകരിക്കുകയോ ഒരു കോൺഫറൻസിൽ അവതരിപ്പിക്കുകയോ ചെയ്തേക്കാവുന്ന ഒരു റിപ്പോർട്ടിൽ വിവരിക്കും. ഒരു സമയത്തും പങ്കെടുക്കുന്നവർ തിരിച്ചറിയപ്പെടുന്ന സവിശേഷതകളൊന്നും ഉപയോഗിക്കില്ല. നിങ്ങളുടെ സ്വകാര്യത നിലനിർത്തപ്പെടും-നിങ്ങളുടെ രേഖകൾ പഠനത്തിന്റെ അന്വേഷകർക്കും നിങ്ങളുടെ ചികിത്സിക്കുന്ന ഡോക്ടർമാർക്കും മാത്രമേ ആക്സസ് ചെയ്യാൻ കഴിയൂ.
3. Educational status,3. വിദ്യാഭ്യാസ നില
There is no potential conflict of interest to disclose.,വെളിപ്പെടുത്താൻ താൽപ്പര്യ വൈരുദ്ധ്യമൊന്നുമില്ല.
Coding of samples or data,സാമ്പിളുകളുടെയോ ഡാറ്റയുടെയോ കോഡിംഗ്
Date of Birth/Age: ___________________________,ജനന തീയതി/പ്രായം:
Platelets help blood clot so as to stop bleeding from wounds,മുറിവുകളിൽ നിന്ന് രക്തസ്രാവം നിലയ്ക്കാൻ രക്തം കട്ടപിടിക്കുന്നതിനുള്ള പ്ലേറ്റ്ലറ്റുകൾ രക്തത്തെ സഹായിക്കുന്നു(Wrong)
"Your donation amounts to 350-450ml, not more than 10% of your total blood volume","നിങ്ങളുടെ രക്തദാനം 350-450 മില്ലി ലിറ്റർ ആണ്,ഇത് നിങ്ങളുടെ മൊത്തം രക്തത്തിന്റെ 10% ൽ കൂടുതൽ അല്ല."
Date of Birth/Age: ___________________________,ജനനത്തീയതി/പ്രായം:
"I understand and agree that materials and information from my donated samples and any stem cell lines made may be stored indefinitely for clinical, quality control purposes and made available to researchers around the world.","ഞാൻ ഡൊണേറ്റ് ചെയ്ത സാമ്പിളുകളിൽ നിന്നുള്ള മെറ്റീരിയലുകളും വിവരങ്ങളും, നിർമ്മിക്കപ്പെട്ട ഏതെങ്കിലും സ്റ്റെം സെൽ ലൈനുകളും ക്ലിനിക്കൽ, ഗുണനിലവാര നിയന്ത്രണ ആവശ്യങ്ങൾക്കായി അനിശ്ചിതമായി സംഭരിക്കപ്പെടുമെന്നും ലോകമെമ്പാടുമുള്ള ഗവേഷകർക്ക് ലഭ്യമാക്കുമെന്നും ഞാൻ മനസ്സിലാക്കുകയും അംഗീകരിക്കുകയും ചെയ്യുന്നു."
Who has reviewed this study?,ആരാണ് ഈ പഠനം അവലോകനം ചെയ്തത്?
3. What is the work plan in this study?,3. ഈ പഠനത്തിലെ വർക്ക് പ്ലാൻ എന്താണ്?
2. Greater than 2 lb weight loss in week.,2. ആഴ്ചയിൽ 2 lb-ൽ കൂടുതൽ ഭാരം കുറയുന്നു.
"Coronavirus disease (COVID-19) is an infectious disease caused by a newly discovered coronavirus SARS CoV2. You may be aware, that this virus has spread to many countries and has caused a global health crisis. The clinical manifestations in children have been reported to be mild but is evolving. We still do not know the full impact of this infection in children. Therefore, it is very important that we collect as much information as possible from children seen in our hospital in a systematic manner.","കൊറോണ വൈറസ് രോഗം (കോവിഡ്-19) പുതുതായി കണ്ടെത്തിയ കൊറോണ വൈറസ് സാര്‍സ് കോവ്2 മൂലമുണ്ടാകുന്ന ഒരു പകർച്ചവ്യാധിയാണ്. ഈ വൈറസ് പല രാജ്യങ്ങളിലേക്കും വ്യാപിക്കുകയും ആഗോള ആരോഗ്യ പ്രതിസന്ധിക്ക് കാരണമാവുകയും ചെയ്തിട്ടുണ്ടെന്ന് നിങ്ങൾക്കറിയാം. കുട്ടികളില്‍ രോഗലക്ഷണം നേരിയ തോതിലാണ് പ്രകടിപ്പിക്കുന്നത് എന്ന് ക്ലിനിക്കലായി റിപ്പോർട്ടുചെയ്‌തിട്ടുണ്ടെങ്കിലും അത് ഗുരുതരമായികൊണ്ടിരിക്കുന്നു. കുട്ടികളിൽ ഈ അണുബാധ ഉളവാക്കുന്ന ആഘാതം എത്രയെന്ന് ഞങ്ങള്‍ക്കിപ്പോഴും അറിയില്ല. അതിനാൽ, ഞങ്ങളുടെ ആശുപത്രിയിൽ പ്രവേശിപ്പിക്കപ്പെടുന്ന കുട്ടികളിൽ നിന്ന് കഴിയുന്നത്ര വിവരങ്ങൾ ചിട്ടയായ രീതിയിൽ ശേഖരിക്കേണ്ടത് വളരെ പ്രധാനമാണ്."
FOP Registry:,FOP രജിസ്ട്രി:
‐ do not reduce the risk of heart attack and probably do not reduce the risk of stroke;,"‐ ഹൃദയാഘാത സാധ്യത കുറയ്ക്കരുത്, പക്ഷാഘാത സാധ്യത കുറയ്ക്കരുത്;"
(iv) I agree for the use of stored blood/ cells and other biological samples of my child to be used for further studies. I understand that this may not be helpful in the treatment of my child but may be helpful to patients in the future. [ ],"(iv) എന്റെ കുട്ടിയുടെ സംഭരിച്ച രക്തം / കോശങ്ങൾ, മറ്റ് ജൈവ സാമ്പിളുകൾ എന്നിവ കൂടുതൽ പഠനത്തിനായി ഉപയോഗിക്കാൻ ഞാൻ സമ്മതിക്കുന്നു. ഇത് എന്റെ കുട്ടിയുടെ ചികിത്സയ്ക്ക് സഹായകരമാകില്ലെന്നും പക്ഷെ ഭാവിയിൽ രോഗികൾക്ക് സഹായകരമായേക്കും എന്ന് ഞാൻ മനസ്സിലാക്കുന്നു."
"The research will involve close monitoring of progression of disease in your child, interpreting investigations which maybe routine or specific to diagnose, assess severity, response to treatment and immunity of COVID-19 infection.","ഈ ഗവേഷണത്തില്‍ കുട്ടികളിലെ രോഗ പുരോഗതി സൂക്ഷ്മമായി വിലയിരുത്തുക, സാധാരണമായതോ പ്രത്യേകമായിട്ടുള്ളതോ ആയ രീതിയില്‍ രോഗ നിര്‍ണയത്തിന് വേണ്ടി നിരീക്ഷണങ്ങളെ വിലയിരുത്തുക, തീവ്രത വിലയിരുത്തുക, COVID-19 അണുബാധക്ക് ചികിത്സയോടുള്ള പ്രതികരണവും പ്രതിരോധവും കണക്കാക്കുക എന്നിവ കൂടി ഉള്‍പ്പെടുന്നു."
INCIDENCE OF PRE ANESTHETIC HYPERTENSION IN NORMOTENSIVES,നോർമോട്ടൻസിവുകളിൽ പ്രീ അനസ്തെറ്റിക് ഹൈപ്പർടെൻഷന്‍റെ സംഭവങ്ങൾ
Date: _____/_____/______,തീയതി://
Signature of the Investigator: ________________________,പരിശോധിച്ച ആളുടെ ഒപ്പ്: ________________________
What is the purpose of the study?,എന്താണ് പഠനത്തിന്‍റെ ഉദ്ദേശ്യം?
Patient information sheet dated: 08/01/2019,രോഗിയുടെ വിവര ഷീറ്റ് dated: 08/01/2019
2. Moderate.,2. മിതമായി
Will your personal details be kept confidential?,നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങൾ രഹസ്യമായി സൂക്ഷിക്കുമോ?
g. I permit Dr./Mr. ___ to take my photograph/video graph,g. ഞാൻ ഡോ./ ശ്രീ ___ എന്റെ ഫോട്ടോ / വീഡിയോ ഗ്രാഫ് എടുക്കാൻ സമ്മതം നൽകുന്നു
Signature (or Thumb impression) of the Subject/Legally Acceptable,സബ്‍ജക്റ്റിന്‍റെ/നിയമപരമായി സ്വീകാര്യമായ ഒപ്പ് (അല്ലെങ്കിൽ തള്ളവിരലിന്‍റെ മുദ്ര).
What will happen if child develops any study related injury?,കുട്ടിക്ക് പഠനവുമായി ബന്ധപ്പെട്ട എന്തെങ്കിലും പരിക്ക് പറ്റിയാൽ എന്ത് സംഭവിക്കും?
DONOR CONSENT FORM,ഡോണർ കൺസെന്റ് ഫോം
Participants Name:,പങ്കെടുക്കുന്നവരുടെ പേര്:
"14. When I’m offered a free drink, I accept even if I don’t feel like taking it.","14. എനിക്ക് സൌജന്യമായി മദ്യം വാഗ്ദാനം ചെയ്യുമ്പോൾ, അത് കഴിക്കാൻ എനിക്ക് തോന്നുന്നില്ലെങ്കിലും ഞാൻ സ്വീകരിക്കുന്നു."
This study aims to further medical knowledge and may improve intraoperative haemodynamics and lower the incidence of post operative delirium and agitation and which will help in the surgery and recovery with early hospital discharge.,"ഈ പഠനം കൂടുതൽ വൈദ്യപരിജ്ഞാനം ലക്ഷ്യമിടുന്നു, കൂടാതെ ശസ്ത്രക്രിയക്ക് ഇടയിലുള്ള രക്ത ചംക്രമണം മെച്ചപ്പെടുത്തുകയും ശസ്ത്രക്രിയക്ക് ശേഷമുള്ള അ സ്വസ്ഥത , പ്രക്ഷോഭം എന്നിവ കുറയ്ക്കുകയും ചെയ്യാം, ശസ്ത്രക്രിയക്ക് ശേഷം പെട്ടെന്ന് തന്നെ സാധരണ ജീവിതത്തിലേക്ക് മടങ്ങി വരാനും ആശുപത്രി യിൽ നിന്നും വിടുതൽ ലഭിക്കാനും സഹായിക്കും"
Patient Signature,രോഗിയുടെ ഒപ്പ്
Informed Consent form to participate in research study.,ഗവേഷണ പഠനത്തിൽ പങ്കെടുക്കുന്നതിനുള്ള ഇൻഫോംഡ് കൺസന്റ് ഫോം (സമ്മതപത്രം).
Many different kinds of people need blood including,വിവിധ തരത്തിലുള്ള ആളുകൾക്ക് രക്തം ആവശ്യമുണ്ട്
"I have read the information above, had the opportunity to ask questions and agree to give my blood and data / allow access to my medical record for use in this study as described above.","മുകളിലുള്ള വിവരങ്ങൾ ഞാൻ വായിച്ചിട്ടുണ്ട്, ചോദ്യങ്ങൾ ചോദിക്കാന്‍ എനിക്ക് അവസരം ലഭിക്കുകയും എന്റെ രക്തവും ഡാറ്റയും നൽകാന്‍ സമ്മതം നല്‍കുകയും ചെയ്തിട്ടുണ്ട് / മുകളിൽ വിവരിച്ചതുപോലെ ഈ പഠനത്തിൽ ഉപയോഗിക്കുന്നതിന് എന്റെ മെഡിക്കൽ റെക്കോർഡിലേക്ക് പ്രവേശനം അനുവദിക്കുക."
Disagree strongly - (1) (1) (1) (1) (1) (1) (1) (1) (1) (1),ശക്തമായി വിയോജിക്കുന്നു - (1) (1) (1) (1) (1) (1) (1) (1) (1) (1)
will keep you safe,നിങ്ങളെ സംരക്ഷിക്കും
Step-1: Is the BMI below the cut-off value in the table overleaf?,ഘട്ടം -1: പട്ടിക ഓവർ‌ലീഫിലെ കട്ട്-ഓഫ് മൂല്യത്തിന് താഴെയാണോ ശരീര ഭാര സൂചിക?
Procedure: Cartilage harvest / Cartilage transplantation,നടപടിക്രമം: തരുണാസ്ഥി വിളവെടുപ്പ് / തരുണാസ്ഥി മാറ്റിവയ്ക്കൽ
"You are being asked to participate in a research study and the participation is entirely voluntary. This consent form gives detailed information about the research study and the investigator will answer any questions that you may have. Once you have understood this study you will be asked to sign this consent form, if you agree participate.","ഒരു ഗവേഷണ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങളോട് ആവശ്യപ്പെടുന്നു, നിങ്ങളുടെ പങ്കാളിത്തം പൂർണ്ണമായും സ്വമേധയാ ഉള്ളതാണ്. ഈ സമ്മത പത്രിക ഗവേഷണ പഠനത്തെക്കുറിച്ചുള്ള വിശദമായ വിവരങ്ങൾ നൽകുന്നു, കൂടാതെ നിങ്ങൾക്ക് ഉണ്ടായേക്കാവുന്ന ഏത് ചോദ്യത്തിനും അന്വേഷകൻ ഉത്തരം നൽകും. ഈ പഠനത്തെപ്പറ്റി നിങ്ങൾ മനസ്സിലാക്കി കഴിഞ്ഞ് ഇതില്‍ പങ്കെടുക്കാൻ നിങ്ങൾ സമ്മതിക്കുകയാണെങ്കിൽ, ഈ സമ്മതപത്രത്തിൽ ഒപ്പിടാൻ നിങ്ങളോട് ആവശ്യപ്പെടും."
(i) I confirm that I have read and understood the information sheet for the above study and have had the opportunity to ask questions.,(i) മുകളിലുള്ള പഠനത്തിനുള്ള വിവര ഷീറ്റ് ഞാൻ വായിക്കുകയും മനസിലാക്കുകയും ചെയ്തുവെന്നും ചോദ്യങ്ങൾ ചോദിക്കാനുള്ള അവസരം ലഭിച്ചിട്ടുണ്ടെന്നും ഞാൻ സ്ഥിരീകരിക്കുന്നു.
"Following the completion of the epidural process, the surgery will proceed as planned.","എപ്പിഡ്യൂറൽ പ്രക്രിയ പൂർത്തിയാക്കിയ ശേഷം, ആസൂത്രണം ചെയ്തതുപോലെ ശസ്ത്രക്രിയ തുടരും."
Participation in this study is entirely voluntary. Participants may choose not to take part or may leave the study at any time. This decision will not affect their further treatment at this hospital.,ഈ പഠനത്തിലെ പങ്കാളിത്തം പൂർണ്ണമായും സ്വമേധയാ ഉള്ളതാണ്. പങ്കെടുക്കുന്നവർക്ക് പങ്കെടുക്കേണ്ടെന്ന് തീരുമാനിക്കാം അല്ലെങ്കിൽ എപ്പോൾ വേണമെങ്കിലും പഠനം ഉപേക്ഷിക്കാം. ഈ തീരുമാനം ഈ ആശുപത്രിയിലെ അവരുടെ തുടർ ചികിത്സയെ ബാധിക്കില്ല.
"If you decide to be in the study, I will not tell anyone else how you respond or act as part of the study. Even if your parents or teachers ask, I will not tell them about what you say or do in the study.","നിങ്ങൾ പഠനത്തിൽ ഏർപ്പെടാൻ തീരുമാനിക്കുകയാണെങ്കിൽ, നിങ്ങൾ എങ്ങനെ പ്രതികരിക്കുന്നു അല്ലെങ്കിൽ പഠനത്തിന്റെ ഭാഗമായി പ്രവർത്തിക്കുന്നുവെന്ന് ഞാൻ മറ്റാരെയും അറിയിക്കുകയില്ല. നിങ്ങളുടെ മാതാപിതാക്കളോ അധ്യാപകരോ ചോദിച്ചാല്‍ പോലും, പഠനത്തിൽ നിങ്ങൾ പറയുന്നതിനെക്കുറിച്ചോ ചെയ്യുന്നതിനെക്കുറിച്ചോ ഞാൻ അവരെ അറിയിക്കുകയില്ല."
Consent withdrawal,പിൻവലിക്കുന്നതിന് വേണ്ടിയുള്ള സമ്മതം.
-Make blood donation a habit,- രക്തദാനം ഒരു ശീലമാക്കുക
Dr. ----,ഡോ. ----
c) Signature of the Investigator Obtaining the,സി) അന്വേഷകന്റെ ഒപ്പ്
2. … is generally trusting,2. … പൊതുവെ എല്ലാരേയും വിശ്വസിക്കുന്ന
Informed Consent: Understanding Your Participation in the FOP Registry,വിവരങ്ങള്‍ വ്യക്തമാക്കിയുള്ള സമ്മതം: FOP രജിസ്ട്രിയിലെ നിങ്ങളുടെ പങ്കാളിത്തം മനസ്സിലാക്കുന്നു
(vi) I am aware of the Audio-visual recording of the Informed Consent. [ ],(vi) സമ്മതം അറിയിക്കുന്നതിന്റെ ഓഡിയോ-വിഷ്വൽ റെക്കോർഡിംഗിനെക്കുറിച്ച് എനിക്ക് ബോധ്യമുണ്ട്. []
"2. Start necessary rehabilitation treatments for your existing side effects, for you to be healthy once again and have a better quality of life.",2. നിങ്ങൾ വീണ്ടും ആരോഗ്യവാന്മാരാകാനും മെച്ചപ്പെട്ട ജീവിതനിലവാരം നേടാനും നിങ്ങളുടെ നിലവിലുള്ള പാർശ്വഫലങ്ങൾക്ക് ആവശ്യമായ റീഹാബിലിറ്റേഷൻ ചികിത്സകൾ ആരംഭിക്കുക.
"Ans. In this study, cartilage pieces from child’s own pelvis bone near waist is taken out. Cells are grown in the laboratory and transplanted in the growth plate of the involved bone after removal of the damaged part. As the transplanted cells are from child’s own body, they proliferate and transform into growth plate and restore the bone growth. This method reduces the number of additional surgeries done to lengthen the bone or correct the bending as child’s own bone starts to regrow.","ഉത്തരം. ഈ പഠനത്തിൽ, കുട്ടിയുടെ അരക്കെട്ടിനടുത്തുള്ള പെൽവിസ് അസ്ഥിയിൽ നിന്നുള്ള തരുണാസ്ഥി കഷണങ്ങൾ പുറത്തെടുക്കുന്നു. കോശങ്ങൾ ലബോറട്ടറിയിൽ വളർത്തുകയും കേടുവന്ന ഭാഗം നീക്കം ചെയ്തതിനുശേഷം ബന്ധപ്പെട്ട അസ്ഥിയുടെ വളർച്ച പ്ലേറ്റിൽ വെച്ച് പിടിപ്പിക്കുകയും ചെയ്യുന്നു. പറിച്ചുനട്ട കോശങ്ങൾ‌ കുട്ടിയുടെ സ്വന്തം ശരീരത്തിൽ‌ നിന്നുമുള്ളതിനാൽ‌, അവ വ്യാപിക്കുകയും വളർച്ചാ പ്ലേറ്റായി മാറുകയും അസ്ഥികളുടെ വളർച്ച പുന:സ്ഥാപിക്കപെടുകയും ചെയ്യുന്നു. കുട്ടിയുടെ സ്വന്തം അസ്ഥി വീണ്ടും വളരാൻ തുടങ്ങുമ്പോൾ അസ്ഥി നീളം കൂട്ടുന്നതിനോ വളയുന്നത് ശരിയാക്കുന്നതിനോ ചെയ്യുന്ന അധിക ശസ്ത്രക്രിയകളുടെ എണ്ണം ഈ രീതി കുറയ്ക്കുന്നു."
«PiLocations»,"""പൈലോക്കേഷനുകൾ"""
Just like when you get a scrape on your knee and its heals,നിങ്ങളുടെ കാൽമുട്ടിന്‍റെ തൊലി പോവുകയും അത് സുഖപ്പെടുകയും ചെയ്യുന്നതുപോലെ
"Ans. This treatment is only one stage and consent withdrawal, once the surgery and cell transplant are done, is not possible. Your participation in this study, however, is entirely voluntary and you are also free to refuse or later on withdraw permission to participate in this study.","ഉത്തരം. ഈ ചികിത്സയില്‍ ഒരു ഘട്ടം മാത്രമാണ് ഉള്ളത്, അതുകൊണ്ട് ശസ്ത്രക്രിയയും സെൽ ട്രാൻസ്പ്ലാൻറും ചെയ്തുകഴിഞ്ഞാൽ സമ്മതം പിൻവലിക്കൽ സാധ്യമല്ല. എന്നിരുന്നാലും, ഈ പഠനത്തിലെ നിങ്ങളുടെ പങ്കാളിത്തം പൂർണ്ണമായും സ്വമേധയാ ഉള്ളതാണ്, മാത്രമല്ല ഈ പഠനത്തിൽ പങ്കെടുക്കാനുള്ള അനുമതി നിരസിക്കാനോ പിന്നീട് പിൻവലിക്കാനോ നിങ്ങൾക്ക് സ്വാതന്ത്ര്യമുണ്ട്."
﻿Comparison of Cerebral Blood Flow During Recovery Between Total Intravenous Anaesthesia Versus Balanced Anaesthesia Technique in Patients Undergoing Elective Supratentorial Craniotomy: A Randomized Control Trial,"ഇലക്‌റ്റിവ് സുപ്രാറ്റൻറ്റോറിയൽ ക്രാനിയോടോമിക്ക് വിധേയരാകുന്ന രോഗികളിൽ ടോട്ടല്‍ ഇൻട്രാവീനസ് അനസ്തേഷ്യ, ബാലൻസ്‌ഡ് അനസ്‌തേഷ്യ ടെക്‌നിക് എന്നിവ പ്രയോഗിക്കുമ്പോള്‍ വീണ്ടെടുക്കൽ സമയത്തുള്ള സെറിബ്രൽ ബ്ലഡ് ഫ്ലോ-കളുടെ താരതമ്യം: ഒരു ക്രമരഹിത നിയന്ത്രിത പരീക്ഷണം"
Address of the Subject:,പങ്കെടുക്കുന്നയാളിന്റെ വിലാസം:
Compensation: Will you have to pay for the treatment/Will I be paid for my participation?,പ്രതിഫലം: ചികിത്സയ്ക്കായി നിങ്ങൾ പണം നൽകേണ്ടിവരുമോ / എന്റെ പങ്കാളിത്തത്തിന് എനിക്ക് പ്രതിഫലം ലഭിക്കുമോ?
