id,sentence,gold_label,form,constituent,gold_pos,case_role,meaning,tokens,bert_pos_tagged,mlmorph_breakdown,mlmorph_detected_attached_aanu,mlmorph_detected_detached_aanu
67,കനത്ത മഴ കാരണം ആണ് കളി മാറ്റിവെച്ചത്.,FOCUS/CLEFT,DETACHED,മഴ കാരണം,NOUN_POSTPOSITION,CAUSAL_SUBJECT,It was because of the heavy rain that the match was postponed.,കനത്ത മഴ കാരണം ആണ് കളി മാറ്റിവെച്ചത് .,കനത്ത/JJ മഴ/N_NN കാരണം/CC_CCD ആണ്/V_VM കളി/N_NN മാറ്റിവെച്ചത്/V_VM_VNF ./RD_PUNC,"കനത്ത: [കനത്ത<quantifier>] | മഴ: [മഴ<n>] | കാരണം: [കാരണം<n>,കാരണം<postp>] | ആണ്: [ആണ്<aff>] | കളി: [കളി<n>] | മാറ്റിവെച്ചത്: [മാറ്റുക<v><cvb-adv-part-past>വെയ്ക്കുക<v><adv-clause-rp-past><n><deriv>,മാറുക<v><causative-voice><cvb-adv-part-past>വെയ്ക്കുക<v><adv-clause-rp-past><n><deriv>]",False,True
68,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത് ഈ രഹസ്യ മുറിയിൽ ആണ്.,FOCUS/CLEFT,DETACHED,മുറിയിൽ,NOUN,LOCATIVE,It is in this secret room that the king's jewels are hidden.,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത് ഈ രഹസ്യ മുറിയിൽ ആണ് .,തമ്പുരാൻ്റെ/N_NN രത്നങ്ങൾ/N_NN ഒളിപ്പിച്ചു/RB വെച്ചിരിക്കുന്നത്/V_VM_VNF ഈ/DM_DMD രഹസ്യ/JJ മുറിയിൽ/N_NN ആണ്/V_VAUX ./RD_PUNC,"തമ്പുരാൻ്റെ: [തമ്പുരാൻ<n><genitive>] | രത്നങ്ങൾ: [രത്നം<n><pl>,രത്നം<np><pl>] | ഒളിപ്പിച്ചു: [ഒളിക്കുക<v><causative-voice><past>,ഒളി<n><adj>പിച്ച്<n><adj>] | വെച്ചിരിക്കുന്നത്: [വെയ്ക്കുക<v><cvb-adv-part-past>ഇരിക്കുക<v><adv-clause-rp-present><n><deriv>,വെയ്ക്കുക<v><cvb-adv-part-past>ഇരിക്കുക<v><adv-clause-rp-present><n><deriv><adj>] | ഈ: [ഈ<dem>] | രഹസ്യ: [രഹസ്യം<n><adj>] | മുറിയിൽ: [മുറി<n><locative>,മുറിയുക<v><cvb-adv-part-conditional>] | ആണ്: [ആണ്<aff>]",False,True
69,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത് കോട്ടയത്ത് ആണ്.,FOCUS/CLEFT,DETACHED,കോട്ടയത്ത്,NOUN,LOCATIVE,It was in Kottayam that we stayed last month.,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത് കോട്ടയത്ത് ആണ് .,ഞങ്ങൾ/PR_PRP കഴിഞ്ഞ/JJ മാസം/N_NN താമസിച്ചത്/V_VM_VNF കോട്ടയത്ത്/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഞങ്ങൾ: [ഞാൻ<prn><pl>] | കഴിഞ്ഞ: [കഴിയുക<v><adv-clause-rp-past>,കഴിയുക<v><past><adv-clause-rp-past>] | മാസം: [മാസം<n>,മാസം<np>] | താമസിച്ചത്: [താമസിക്കുക<v><adv-clause-rp-past><n><deriv>,താമസിക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | കോട്ടയത്ത്: [കോട്ടയം<np><locative>,കോട്ട്<n><adj>അയം<n><locative>] | ആണ്: [ആണ്<aff>]",False,True
70,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത് വളരെ ശ്രദ്ധയോടെ ആണ്.,FOCUS/CLEFT,DETACHED,ശ്രദ്ധയോടെ,NOUN,SOCIATIVE_MANNER,It is with great care that the children use the pen to write the exam.,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത് വളരെ ശ്രദ്ധയോടെ ആണ് .,പരീക്ഷ/N_NN എഴുതാൻ/V_VM_VNF കുട്ടികൾ/N_NN പേന/N_NN ഉപയോഗിക്കുന്നത്/V_VM_VNF വളരെ/RP_INTF ശ്രദ്ധയോടെ/RB ആണ്/V_VAUX ./RD_PUNC,"പരീക്ഷ: [പരീക്ഷ<sanskrit>] | എഴുതാൻ: [എഴുതുക<v><purposive-mood>,എഴുതുക<v><cvb-adv-part-future>] | കുട്ടികൾ: [കുട്ടി<n><pl>,കുട്ടി<np><pl>] | പേന: [പേന<n>] | ഉപയോഗിക്കുന്നത്: [ഉപയോഗിക്കുക<v><adv-clause-rp-present><n><deriv>,ഉപയോഗിക്കുക<v><adv-clause-rp-present><n><deriv><adj>] | വളരെ: [വളരെ<quantifier>] | ശ്രദ്ധയോടെ: [ശ്രദ്ധ<n><sociative>എ<indeclinable>,ശ്രദ്ധ<n><adj>ഓട്<n>എ<indeclinable>] | ആണ്: [ആണ്<aff>]",False,True
71,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത് അടുക്കളയിലെ കുപ്പിയിൽ ആണ്.,FOCUS/CLEFT,DETACHED,കുപ്പിയിൽ,NOUN,LOCATIVE,It is in the jar in the kitchen that mother keeps the snacks made.,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത് അടുക്കളയിലെ കുപ്പിയിൽ ആണ് .,അമ്മ/N_NN പലഹാരങ്ങൾ/N_NN ഉണ്ടാക്കി/V_VM_VNF സൂക്ഷിക്കുന്നത്/V_VM_VNF അടുക്കളയിലെ/N_NNP കുപ്പിയിൽ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അമ്മ: [അമ്മ<n>,അമ്മ<np>] | പലഹാരങ്ങൾ: [പലഹാരം<n><pl>,പലം<n><adj>ഹാരം<n><pl>] | ഉണ്ടാക്കി: [ഉണ്ടാക്കുക<v><past>,ഉണ്ടാക്കുക<v><cvb-adv-part-past>] | സൂക്ഷിക്കുന്നത്: [സൂക്ഷിക്കുക<v><adv-clause-rp-present><n><deriv>,സൂക്ഷിക്കുക<v><adv-clause-rp-present><n><deriv><adj>] | അടുക്കളയിലെ: [അടുക്കള<n><locative>എ<indeclinable>,അ<dem>അടുക്കള<n><locative>എ<indeclinable>] | കുപ്പിയിൽ: [കുപ്പി<n><locative>] | ആണ്: [ആണ്<aff>]",False,True
72,അവൾ കോളേജിൽ എത്തിയത് തൻ്റെ സ്വന്തം സ്കൂട്ടറിൽ ആണ്.,FOCUS/CLEFT,DETACHED,സ്കൂട്ടറിൽ,NOUN,LOCATIVE_INSTRUMENTAL,It was on her own scooter that she arrived at the college.,അവൾ കോളേജിൽ എത്തിയത് തൻ്റെ സ്വന്തം സ്കൂട്ടറിൽ ആണ് .,അവൾ/PR_PRP കോളേജിൽ/N_NN എത്തിയത്/V_VM_VNF തൻ്റെ/PR_PRF സ്വന്തം/PR_PRF സ്കൂട്ടറിൽ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അവൾ: [അവൾ<prn>,അ<dem>അവൾ<prn>] | കോളേജിൽ: [കോളേജ്<n><locative>,കോളേജ്<eng><locative>] | എത്തിയത്: [എത്തുക<v><adv-clause-rp-past><n><deriv>,എത്തുക<v><adv-clause-rp-past><n><deriv><adj>] | തൻ്റെ: [തൻ<n><genitive>,തൻ<prn><genitive>] | സ്വന്തം: [സ്വന്തം<n>] | സ്കൂട്ടറിൽ: [സ്കൂട്ടർ<eng><locative>] | ആണ്: [ആണ്<aff>]",False,True
73,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത് ചുഴലിക്കാറ്റ് മൂലം ആണ്.,FOCUS/CLEFT,DETACHED,ചുഴലിക്കാറ്റ് മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to the cyclone that all those big trees fell uprooted.,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത് ചുഴലിക്കാറ്റ് മൂലം ആണ് .,ആ/DM_DMD വലിയ/JJ മരങ്ങൾ/N_NN മുഴുവൻ/QT_QTF കടപുഴകി/V_VM_VF വീണത്/N_NN ചുഴലിക്കാറ്റ്/N_NN മൂലം/PSP ആണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | മരങ്ങൾ: [മരം<n><pl>] | മുഴുവൻ: [മുഴുവൻ<quantifier>] | കടപുഴകി: [NO_ANALYSIS] | വീണത്: [വീഴുക<v><adv-clause-rp-past><n><deriv>,വീഴുക<v><adv-clause-rp-past><n><deriv><adj>] | ചുഴലിക്കാറ്റ്: [ചുഴലിക്കാറ്റ്<n>,ചുഴലി<n><adj>കാറ്റ്<n>] | മൂലം: [മൂലം<n>,മൂലം<np>] | ആണ്: [ആണ്<aff>]",False,True
74,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത് ഇന്നലെ അർദ്ധരാത്രിയിൽ ആണ്.,FOCUS/CLEFT,DETACHED,അർദ്ധരാത്രിയിൽ,NOUN,LOCATIVE_TEMPORAL,It was at midnight yesterday that my friend arrived from abroad.,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത് ഇന്നലെ അർദ്ധരാത്രിയിൽ ആണ് .,വിദേശത്തു/N_NN നിന്നും/PSP എൻ്റെ/N_NN കൂട്ടുകാരൻ/N_NN എത്തിയത്/V_VM_VNF ഇന്നലെ/RB അർദ്ധരാത്രിയിൽ/N_NN ആണ്/V_VAUX ./RD_PUNC,"വിദേശത്തു: [വിദേശം<n><locative>,വിദേശം<n><locative><adj>] | നിന്നും: [നിന്നും<cnj>,നിന്ന്<postp>ഉം<cnj>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | കൂട്ടുകാരൻ: [കൂട്ട്<n><masculine><n><deriv>] | എത്തിയത്: [എത്തുക<v><adv-clause-rp-past><n><deriv>,എത്തുക<v><adv-clause-rp-past><n><deriv><adj>] | ഇന്നലെ: [ഇന്നലെ<np>,ഇന്നൽ<n>എ<indeclinable>] | അർദ്ധരാത്രിയിൽ: [അർദ്ധം<sanskrit><adj>രാത്രി<np><locative>,അർദ്ധം<sanskrit><adj>രാത്രി<sanskrit><locative>] | ആണ്: [ആണ്<aff>]",False,True
75,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത് നാളെ ആണ്.,FOCUS/CLEFT,DETACHED,നാളെ,NOUN,NOMINATIVE_TEMPORAL,It is tomorrow that you must perform this hard work.,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത് നാളെ ആണ് .,നീ/PR_PRP ഈ/DM_DMD കഠിനമായ/JJ ജോലി/N_NN ചെയ്യേണ്ടത്/V_VM_VNF നാളെ/PR_PRP ആണ്/V_VAUX ./RD_PUNC,"നീ: [നീ<prn>] | ഈ: [ഈ<dem>] | കഠിനമായ: [കഠിനം<n>ആയ<cnj>,കഠിനം<n>ആയ<postp>] | ജോലി: [ജോലി<n>] | ചെയ്യേണ്ടത്: [ചെയ്യുക<v><cvb-adv-part-simul>അണ്ടുക<v><cvb-adv-part-absolute><n><deriv>,ചെയ്യുക<v><cvb-adv-part-simul>അണ്ടുക<v><cvb-adv-part-absolute><n><deriv><adj>] | നാളെ: [നാളെ<n>,നാളെ<np>] | ആണ്: [ആണ്<aff>]",False,True
76,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെയാണ്.,FOCUS/CLEFT,ATTACHED,കുട്ടിയെ,NOUN,ACCUSATIVE,It was that mischievous child whom the teacher punished.,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെയാണ് .,അധ്യാപകൻ/N_NN ശിക്ഷിച്ചത്/V_VM_VNF ആ/DM_DMD കുസൃതിക്കാരൻ/N_NN കുട്ടിയെയാണ്/V_VAUX ./RD_PUNC,"അധ്യാപകൻ: [അധ്യാപകൻ<n>,അ<dem>അധ്യാപകൻ<n>] | ശിക്ഷിച്ചത്: [ശിക്ഷിക്കുക<v><adv-clause-rp-past><n><deriv>,ശിക്ഷിക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | ആ: [ആ<ij>,ആ<dem>] | കുസൃതിക്കാരൻ: [കുസൃതി<n><masculine><n><deriv>] | കുട്ടിയെയാണ്: [കുട്ടി<n><accusative>ആണ്<aff>,കുട്ടി<np><accusative>ആണ്<aff>]",True,False
77,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെയാണ്.,FOCUS/CLEFT,ATTACHED,രാഹുലിനെ,NOUN,ACCUSATIVE,It was Rahul whom I saw yesterday evening.,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെയാണ് .,ഞാൻ/PR_PRP ഇന്നലെ/RB വൈകിട്ട്/V_VM_VF കണ്ടത്/V_VM_VNF രാഹുലിനെയാണ്/V_VAUX ./RD_PUNC,"ഞാൻ: [ഞാൻ<prn>] | ഇന്നലെ: [ഇന്നലെ<np>,ഇന്നൽ<n>എ<indeclinable>] | വൈകിട്ട്: [NO_ANALYSIS] | കണ്ടത്: [കണ്ടത്<n>,കാണുക<v><adv-clause-rp-past><n><deriv>] | രാഹുലിനെയാണ്: [രാഹുൽ<np><accusative>ആണ്<aff>,രാഹുൽ<np><accusative>ആണ്<aff><adj>]",True,False
78,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്താണ്.,FOCUS/CLEFT,ATTACHED,നിലത്ത്,NOUN,LOCATIVE,It was on the floor that the child threw and broke the toy.,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്താണ് .,കുട്ടി/N_NN കളിപ്പാട്ടം/N_NN എറിഞ്ഞു/RB പൊട്ടിച്ചത്/V_VM_VNF നിലത്താണ്/V_VAUX ./RD_PUNC,"കുട്ടി: [കുട്ടി<n>,കുട്ടി<np>] | കളിപ്പാട്ടം: [കളിപ്പാട്ടം<n>,കളി<n><adj>പാട്ടം<n>] | എറിഞ്ഞു: [എറിയുക<v><past>] | പൊട്ടിച്ചത്: [പൊട്ടിക്കുക<v><adv-clause-rp-past><n><deriv>,പൊട്ടുക<v><causative-voice><adv-clause-rp-past><n><deriv>] | നിലത്താണ്: [നിലം<n><locative>ആണ്<aff>,നിലം<n><locative>ആണ്<aff><adj>]",True,False
79,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിലാണ്.,FOCUS/CLEFT,ATTACHED,ജന്മദിനത്തിൽ,NOUN,LOCATIVE,It was on her birthday that we gave mother a gift.,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിലാണ് .,അമ്മയ്ക്ക്/N_NN ഞങ്ങൾ/PR_PRP സമ്മാനം/N_NN നൽകിയത്/V_VM_VNF ജന്മദിനത്തിലാണ്/V_VAUX ./RD_PUNC,"അമ്മയ്ക്ക്: [അമ്മ<n><dative>,അമ്മ<np><dative>] | ഞങ്ങൾ: [ഞാൻ<prn><pl>] | സമ്മാനം: [സമ്മാനം<n>] | നൽകിയത്: [നൽകുക<v><adv-clause-rp-past><n><deriv>,നൽകുക<v><adv-clause-rp-past><n><deriv><adj>] | ജന്മദിനത്തിലാണ്: [ജന്മദിനം<n><locative>ആണ്<aff>,ജന്മദിനം<n><locative>ആണ്<aff><adj>]",True,False
80,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിലാണ്.,FOCUS/CLEFT,ATTACHED,വേഗത്തിൽ,NOUN,LOCATIVE_MANNER,It was very fast that father drove the vehicle.,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിലാണ് .,അച്ഛൻ/N_NN വണ്ടി/PSP ഓടിച്ചത്/V_VM_VNF വളരെ/RP_INTF വേഗത്തിലാണ്/V_VAUX ./RD_PUNC,"അച്ഛൻ: [അച്ഛൻ<n>,അ<dem>അച്ഛൻ<n>] | വണ്ടി: [വണ്ടി<n>] | ഓടിച്ചത്: [ഓടിക്കുക<v><adv-clause-rp-past><n><deriv>,ഓടുക<v><causative-voice><adv-clause-rp-past><n><deriv>] | വളരെ: [വളരെ<quantifier>] | വേഗത്തിലാണ്: [വേഗം<n><locative>ആണ്<aff>,വേഗം<n><locative>ആണ്<aff><adj>]",True,False
81,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ടാണ്.,FOCUS/CLEFT,ATTACHED,കോടാലി കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with this big axe that he cut that thick tree.,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ടാണ് .,അവൻ/PR_PRP ആ/DM_DMD തടിയൻ/JJ മരം/N_NN മുറിച്ചത്/V_VM_VNF ഈ/DM_DMD വലിയ/JJ കോടാലി/N_NN കൊണ്ടാണ്/V_VAUX ./RD_PUNC,"അവൻ: [അവൻ<prn>,അ<dem>അവൻ<prn>] | ആ: [ആ<ij>,ആ<dem>] | തടിയൻ: [തടിയൻ<n>,തടി<n><masculine><n><deriv>] | മരം: [മരം<n>] | മുറിച്ചത്: [മുറിക്കുക<v><adv-clause-rp-past><n><deriv>,മുറിക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | ഈ: [ഈ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | കോടാലി: [കോടാലി<n>] | കൊണ്ടാണ്: [കൊണ്ട്<cnj>ആണ്<aff>,കൊണ്ടു്<cnj>ആണ്<aff>]",True,False
82,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലമാണ്.,FOCUS/CLEFT,ATTACHED,അധ്വാനം മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to hard work that they passed the exam.,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലമാണ് .,അവർ/PR_PRP പരീക്ഷ/N_NN പാസായത്/N_NN കഠിനമായ/JJ അധ്വാനം/N_NN മൂലമാണ്/V_VAUX ./RD_PUNC,"അവർ: [അവർ<prn>,അ<dem>അവർ<prn>] | പരീക്ഷ: [പരീക്ഷ<sanskrit>] | പാസായത്: [NO_ANALYSIS] | കഠിനമായ: [കഠിനം<n>ആയ<cnj>,കഠിനം<n>ആയ<postp>] | അധ്വാനം: [അധ്വാനം<n>,അ<dem>ധ്വാനം<n>] | മൂലമാണ്: [മൂലം<n>ആണ്<aff>,മൂലം<np>ആണ്<aff>]",True,False
83,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവളാണ്.,FOCUS/CLEFT,ATTACHED,അവൾ,PRONOUN,NOMINATIVE_SUBJECT,It is she who told me the secret.,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവളാണ് .,എനിക്ക്/PR_PRP രഹസ്യം/N_NN പറഞ്ഞുതന്നത്/V_VM_VNF അവളാണ്/V_VAUX ./RD_PUNC,"എനിക്ക്: [ഞാൻ<prn><dative>,ഞാൻ<prn><dative><adj>] | രഹസ്യം: [രഹസ്യം<n>] | പറഞ്ഞുതന്നത്: [പറയുക<v><cvb-adv-part-past>തരിക<v><adv-clause-rp-past><n><deriv>,പറയുക<v><cvb-adv-part-past>തരുക<v><adv-clause-rp-past><n><deriv>] | അവളാണ്: [അവൾ<prn>ആണ്<aff>,അവൾ<prn>ആണ്<aff><adj>]",True,False
84,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്കാണ്.,FOCUS/CLEFT,ATTACHED,പെൺകുട്ടിക്ക്,NOUN,DATIVE,It was to that little girl that Rahul sent the gift.,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്കാണ് .,രാഹുൽ/N_NNP സമ്മാനം/N_NN അയച്ചത്/V_VM_VNF ആ/DM_DMD കൊച്ചു/JJ പെൺകുട്ടിക്കാണ്/V_VAUX ./RD_PUNC,"രാഹുൽ: [രാഹുൽ<np>] | സമ്മാനം: [സമ്മാനം<n>] | അയച്ചത്: [അയയ്ക്കുക<v><adv-clause-rp-past><n><deriv>,അയയുക<v><causative-voice><adv-clause-rp-past><n><deriv>] | ആ: [ആ<ij>,ആ<dem>] | കൊച്ചു: [കൊച്ചു<np>,കൊച്ച്<n><adj>] | പെൺകുട്ടിക്കാണ്: [പെൺകുട്ടി<n><dative>ആണ്<aff>,പെൺകുട്ടി<n><dative>ആണ്<aff><adj>]",True,False
85,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്കാണ്.,FOCUS/CLEFT,ATTACHED,നാലുമണിക്ക്,NOUN,DATIVE_TEMPORAL,It is at four o'clock that we have to board the flight.,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്കാണ് .,ഞങ്ങൾ/PR_PRP വിമാനം/N_NN കയറേണ്ടത്/V_VM_VNF നാലുമണിക്കാണ്/V_VAUX ./RD_PUNC,"ഞങ്ങൾ: [ഞാൻ<prn><pl>] | വിമാനം: [വിമാനം<n>] | കയറേണ്ടത്: [കയറുക<v><cvb-adv-part-simul>അണ്ടുക<v><cvb-adv-part-absolute><n><deriv>,കയറുക<v><cvb-adv-part-simul>അണ്ടുക<v><cvb-adv-part-absolute><n><deriv><adj>] | നാലുമണിക്കാണ്: [നാല്<ones><cardinal><adj>മണി<n><dative>ആണ്<aff>,നാലു്<ones><cardinal><adj>മണി<n><dative>ആണ്<aff>]",True,False
86,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്നാണ്.,FOCUS/CLEFT,ATTACHED,പെട്ടെന്ന്,ADV,MANNER,It was suddenly that the cat jumped down from the table.,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്നാണ് .,പൂച്ച/N_NN മേശപ്പുറത്തു/N_NN നിന്നും/PSP താഴേക്ക്/N_NST ചാടിയത്/N_NN പെട്ടെന്നാണ്/V_VAUX ./RD_PUNC,"പൂച്ച: [പൂച്ച<n>,പൂ<n><coordinative>അച്ച<n>] | മേശപ്പുറത്തു: [മേശ<n><adj>പുറം<n><locative>,മേശ<n><adj>പുറം<n><locative><adj>] | നിന്നും: [നിന്നും<cnj>,നിന്ന്<postp>ഉം<cnj>] | താഴേക്ക്: [താഴ്<n><adj>ഏക്ക്<n>,താഴ്<n><coordinative>ഏക്ക്<n>] | ചാടിയത്: [ചാടുക<v><adv-clause-rp-past><n><deriv>,ചാടുക<v><adv-clause-rp-past><n><deriv><adj>] | പെട്ടെന്നാണ്: [പെട്ടെന്ന്<quantifier>ആണ്<aff>,പെട്ട്<n>എന്ന്<cnj>ആണ്<aff>]",True,False
87,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നാണ്.,FOCUS/CLEFT,ATTACHED,കടയിൽ നിന്നും,NOUN_POSTPOSITION,ABLATIVE_LOCATION,It was from the big shop that Lakshmi bought the new book.,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നാണ് .,ലക്ഷ്മി/N_NNP പുതിയ/JJ പുസ്തകം/N_NN വാങ്ങിയത്/N_NN വലിയ/JJ കടയിൽ/N_NN നിന്നാണ്/V_VAUX ./RD_PUNC,"ലക്ഷ്മി: [ലക്ഷ്മി<n>,ലക്ഷ്മി<np>] | പുതിയ: [പുതിയ<adj>] | പുസ്തകം: [പുസ്തകം<n>] | വാങ്ങിയത്: [വാങ്ങുക<v><adv-clause-rp-past><n><deriv>,വാങ്ങുക<v><adv-clause-rp-past><n><deriv><adj>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | കടയിൽ: [കട<n><locative>,കടയുക<v><cvb-adv-part-conditional>] | നിന്നാണ്: [നിൽക്കുക<v><cvb-adv-part-past>ആണ്<aff>,നില്ക്കുക<v><cvb-adv-part-past>ആണ്<aff>]",True,False
88,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിലാണ്.,FOCUS/CLEFT,ATTACHED,വൈകുന്നേരങ്ങളിൽ,NOUN,LOCATIVE_TEMPORAL,It is during the evenings that he learns to drive the new car.,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിലാണ് .,അവൻ/PR_PRP പുതിയ/JJ കാർ/N_NN ഓടിച്ചു/V_VM_VF പഠിക്കുന്നത്/V_VM_VNF വൈകുന്നേരങ്ങളിലാണ്/V_VAUX ./RD_PUNC,"അവൻ: [അവൻ<prn>,അ<dem>അവൻ<prn>] | പുതിയ: [പുതിയ<adj>] | കാർ: [കാർ<eng>] | ഓടിച്ചു: [ഓടിക്കുക<v><past>,ഓടുക<v><causative-voice><past>] | പഠിക്കുന്നത്: [പഠിക്കുക<v><adv-clause-rp-present><n><deriv>,പഠിക്കുക<v><adv-clause-rp-present><n><deriv><adj>] | വൈകുന്നേരങ്ങളിലാണ്: [വൈകുന്നേരം<np><pl><locative>ആണ്<aff>,വൈകുന്നേരം<np><pl><locative>ആണ്<aff><adj>]",True,False
89,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെയാണ്.,FOCUS/CLEFT,ATTACHED,ശബ്ദത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with a loud noise that that big vessel fell and broke on the floor.,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെയാണ് .,ആ/DM_DMD വലിയ/JJ പാത്രം/N_NN നിലത്തുവീണു/V_VM_VNF പൊട്ടിയത്/N_NN വലിയ/JJ ശബ്ദത്തോടെയാണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | പാത്രം: [പാത്രം<n>] | നിലത്തുവീണു: [നിലം<n><locative><n-v-compound>വീഴുക<v><past>,നിലം<n><locative><adj><n-v-compound>വീഴുക<v><past>] | പൊട്ടിയത്: [പൊട്ടുക<v><adv-clause-rp-past><n><deriv>,പൊട്ടുക<v><adv-clause-rp-past><n><deriv><adj>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | ശബ്ദത്തോടെയാണ്: [ശബ്ദം<n><sociative>എ<indeclinable>ആണ്<aff>,ശബ്ദം<n><sociative>എ<indeclinable>ആണ്<aff><adj>]",True,False
