English Sentence,Malayalam Sentence,Google Translate,IndicTrans2,BhashaVerse
"So I swam under houses and businesses and bowling alleys and golf courses, and even under a Sonny's BBQ Restaurant,  Pretty remarkable, and what that taught me was that everything we do on the surface of our earth will be returned to us to drink.","അങ്ങനെ ഞാൻ വീടുകളുടെയും, വ്യപാരസ്ഥാപനങ്ങളുടെയും, കളിസ്ഥലങ്ങളുടെയും, ഗോൾഫ് മൈതാനങ്ങളുടെ അടിയിലൂടെയും നീന്തി ഒരു സോണി ബർബെകു ഹോട്ടലിന് അടിയിലൂടെ പോലും.വളരെ ശ്രദ്ധേയം, എന്നാൽ അത് എനിക്ക് പറഞ്ഞുതന്നത് ഭൗമ ഉപരിതലത്തിൽ നമ്മൾ ചെയ്യുന്നതെല്ലാമാണ് കുടിക്കാനായി നമുക്ക് തിരിച്ചുകിട്ടുന്നത്","അതുകൊണ്ട് ഞാൻ വീടുകൾക്കും വ്യാപാര സ്ഥാപനങ്ങൾക്കും ബൗളിംഗ് ഇടവഴികൾക്കും ഗോൾഫ് കോഴ്‌സുകൾക്കും കീഴിലും, ഒരു സോണിയുടെ BBQ റെസ്റ്റോറൻ്റിന് കീഴിലും നീന്തിയത് വളരെ ശ്രദ്ധേയമാണ്, അത് എന്നെ പഠിപ്പിച്ചത് നമ്മുടെ ഭൂമിയുടെ ഉപരിതലത്തിൽ ചെയ്യുന്നതെല്ലാം നമുക്ക് കുടിക്കാൻ തിരികെ നൽകും എന്നതാണ്.","അതിനാൽ ഞാൻ വീടുകളുടെയും ബിസിനസുകളുടെയും ബൌളിംഗ് ഇടനാഴികളുടെയും ഗോൾഫ് കോഴ്സുകളുടെയും കീഴിലും സോണിയുടെ ബിബിക്യു റെസ്റ്റോറന്റിന്റെ കീഴിലും നീന്തി, വളരെ ശ്രദ്ധേയമാണ്, അത് എന്നെ പഠിപ്പിച്ചത് നമ്മുടെ ഭൂമിയുടെ ഉപരിതലത്തിൽ നമ്മൾ ചെയ്യുന്നതെല്ലാം കുടിക്കാൻ നമുക്ക് തിരികെ നൽകും എന്നതാണ്.","അതിനാൽ ഞാൻ വീടുകൾക്കും ബിസിനsations നും ബൌളിംഗ് ഇടവഴികൾക്കും ഗോൾഫ് കോഴ്സുകൾക്കും കീഴിലും ഒരു സോണിയുടെ ബിബിക്യു റെസ്റ്റോറന്റിന് കീഴിലും പോലും നീന്തി, വളരെ ശ്രദ്ധേയമാണ്, അത് എന്നെ പഠിപ്പിച്ചത് നമ്മുടെ ഭൂമിയുടെ ഉപരിതലത്തിൽ നമ്മൾ ചെയ്യുന്നതെല്ലാം കുടിക്കാൻ ഞങ്ങൾക്ക് തിരികെ നൽകപ്പെടും എന്നതാണ്."
It's a shared resource from which we all drink.,കുടിവെള്ളം നമ്മൾ പങ്കുവെക്കുന്ന ഒരു വിഭവമാണ്.,നാമെല്ലാവരും കുടിക്കുന്ന ഒരു പങ്കിട്ട വിഭവമാണിത്.,നാമെല്ലാവരും പങ്കിട്ട വിഭവങ്ങളിൽ നിന്നാണ് ഇത് കുടിക്കുന്നത്.................................................................................................................................................................................................................................................,നാമെല്ലാവരും കുടിക്കുന്ന ഒരു പങ്കിട്ട വിഭവമാണിത്.
It's actually morphed.,ഇത് യഥാർത്ഥത്തിൽ മോർഫുചെയ്യപ്പെട്ടതാണ്,ഇത് യഥാർത്ഥത്തിൽ മോർഫ് ചെയ്തതാണ്.,ഇത് യഥാർത്ഥത്തിൽ മോർഫ് ചെയ്തതാണ്....................................................................................................................................................................................................................................................,യഥാർത്ഥത്തിൽ അത് മോർഫ് ചെയ്തതാണ്.
And that's pretty amazing.,അത് ഒരു അത്ഭുതം തന്നെയാണ്,അത് വളരെ അത്ഭുതകരമാണ്.,അത് വളരെ അതിശയകരമാണ്..........................................................................................................................................................................................................................................................,"കൂടാതെ, അത് വളരെ അത്ഭുതകരമായ ആണ്."
It's only when the box is opened that we see a single definite state.,. പെട്ടി തുറന്ന സമയത്ത് മാത്രമാണ് നമ്മള് ഒരു നിശ്ചിതമായ അവസ്ഥ കാണുന്നത്.,പെട്ടി തുറക്കുമ്പോൾ മാത്രമാണ് ഒരു നിശ്ചിത അവസ്ഥ കാണുന്നത്.,ബോക്സ് തുറക്കുമ്പോൾ മാത്രമേ നമ്മൾ ഒരൊറ്റ നിശ്ചിത അവസ്ഥ കാണൂ................................................................................................................................................................................................................................................,ബോക്സ് തുറക്കുമ്പോൾ മാത്രമേ നമ്മൾ ഒരൊറ്റ നിർദ്ദിഷ്ട അവസ്ഥ കാണുന്നു.
"In fact, it's essential.","വാസ്തവത്തില്, അത് അത്യന്താപേക്ഷികവുമാണ്.","വാസ്തവത്തിൽ, അത് അത്യാവശ്യമാണ്.","വാസ്തവത്തിൽ, അത് അനിവാര്യമാണ്........................................................................................................................................................................................................................................................","വാസ്തവത്തിൽ, അത് അത്യാവശ്യമാണ്."
"That's far too small to detect, so we'll never see wave behavior from a cat.","അത് അളക്കാൻ കഴിയുന്നതിനേക്കാള് വളരെ ചെറുതാണ്, അതുകൊണ്ട് ഒരിക്കലും നാം പൂച്ചയില് തരംഗസ്വഭാവം കാണില്ല.","അത് കണ്ടെത്താനാകാത്തത്ര വളരെ ചെറുതാണ്, അതിനാൽ പൂച്ചയിൽ നിന്നുള്ള തരംഗ സ്വഭാവം ഞങ്ങൾ ഒരിക്കലും കാണില്ല.","അത് തിരിച്ചറിയാൻ കഴിയാത്തത്ര ചെറുതാണ്, അതിനാൽ ഒരു പൂച്ചയിൽ നിന്നുള്ള തരംഗ സ്വഭാവം നമ്മൾ ഒരിക്കലും കാണില്ല......................................................................................................................................................................................................................................","അത് കണ്ടെത്താൻ വളരെ ചെറുതാണ്, അതിനാൽ ഒരു പൂച്ചയിൽ നിന്നുള്ള തരംഗ സ്വഭാവം നമ്മൾ ഒരിക്കലും കാണില്ല."
"An electron in a molecule isn't on just atom A or atom B, but A B.","ഒരു തന് മാത്രയിലെ ഇലക്ട്രോണ് ആറ്റം Aയിലോ Bയിലോ അല്ല, A Bയില് ആണ്.","ഒരു തന്മാത്രയിലെ ഇലക്ട്രോൺ ആറ്റം A അല്ലെങ്കിൽ B ആറ്റത്തിലല്ല, A B ആണ്.","ഒരു തന്മാത്രയിലെ ഒരു ഇലക്ട്രോൺ എ ആറ്റത്തിലോ ബി ആറ്റത്തിലോ മാത്രമല്ല, എ ബി ആണിലുമാണ് സ്ഥിതിചെയ്യുന്നത്......................................................................................................................................................................................................................................","ഒരു തന്മാത്രയിലെ ഒരു ഇലക്ട്രോൺ A അല്ലെങ്കിൽ B ആറ്റത്തിൽ മാത്രമല്ല, A B യിൽ ആണ്."
An old joke says that the Internet exists to allow the sharing of cat videos.,പൂച്ചകളുടെ വീഡിയോചിത്രങ്ങള് പങ്കുവയ്ക്കാനാണ് ഇന്റെര് നെറ്റ് നിലകൊള്ളൂന്നത് എന്നാണ് ഒരു പഴയ തമാശ.,പൂച്ചയുടെ വീഡിയോകൾ പങ്കിടാൻ ഇൻ്റർനെറ്റ് നിലവിലുണ്ടെന്ന് പഴയ തമാശ പറയുന്നു.,പൂച്ചയുടെ വീഡിയോകൾ പങ്കിടാൻ അനുവദിക്കുന്നതിനായി ഇന്റർനെറ്റ് നിലവിലുണ്ടെന്ന് ഒരു പഴയ തമാശ പറയുന്നു.,പൂച്ചകളുടെ വീഡിയോകൾ പങ്കിടാൻ അനുവദിക്കുന്നതിന് ഇന്റർനെറ്റ് നിലവിലുണ്ടെന്ന് ഒരു പഴയ തമാശ പറയുന്നു.
What do you see?,നിങ്ങൾ എന്താണ് കാണുന്നത്.?,നിങ്ങൾ എന്താണ് കാണുന്നത്?,നിങ്ങൾ എന്താണ് കാണുന്നത്?..........................................................................................................................................................................................................................................................,എന്താ കാണുന്നത്?
"Most of you see a barbershop, an opportunity for health, an opportunity for health equity.","നിങ്ങളിൽ ഭൂരിഭാഗവും ഒരു ബാർബർഷോപ് കാണുന്നു, പക്ഷെ ഞാൻ കാണുന്നത് ഒരു അവസരമാണ്: ആരോഗ്യത്തിനായുള്ള ഒരവസരം, ആരോഗ്യ സമത്വത്തിനായുള്ള ഒരവസരം.","നിങ്ങളിൽ ഭൂരിഭാഗവും ഒരു ബാർബർഷോപ്പ്, ആരോഗ്യത്തിനുള്ള അവസരം, ആരോഗ്യ സമത്വത്തിനുള്ള അവസരം എന്നിവ കാണുന്നു.","നിങ്ങളിൽ ഭൂരിഭാഗവും ഒരു ബാർബർഷോപ്പ് കാണുന്നു, ആരോഗ്യത്തിനുള്ള ഒരു അവസരം, ആരോഗ്യ തുല്യതയ്ക്കുള്ള ഒരു അവസരം....................................................................................................................................................................................................................................","നിങ്ങളിൽ മിക്കവരും ഒരു ബാർബർഷോപ്പ്, ആരോഗ്യത്തിനുള്ള അവസരം, ആരോഗ്യസമത്വത്തിനുള്ള അവസരം എന്നിവയാണ് കാണുന്നത്."
"No, it's much more than that.","അല്ല, അത് അതിലും അധികമാണ്.","ഇല്ല, അത് അതിനേക്കാൾ വളരെ കൂടുതലാണ്.","ഇല്ല, അതിലും എത്രയോ കൂടുതലാണത്.....................................................................................................................................................................................................................................................","ഇല്ല, അത് അതിനേക്കാൾ വളരെ കൂടുതലാണ്."
But herein lies the problem.,പക്ഷെ അതിലാണ് പ്രശ്നം.,എന്നാൽ ഇവിടെയാണ് പ്രശ്നം.,എന്നാൽ ഇവിടെയാണ് പ്രശ്നം..........................................................................................................................................................................................................................................................,എന്നാല്‍ ഇവിടെയാണ് പ്രശ്.
"Denny, like many barbers, is more than just an artist, a businessman and confidant.","ഡെന്നി, മറ്റേതു ബാർബറെയും പോലെ, ഒരു കലാകാരൻ എന്നതിലുപരി, ഒരു കച്ചവടക്കാരനാണ് പിന്നെ വിശ്വസ്തനും.","ഡെന്നി, പല ബാർബർമാരെയും പോലെ, കേവലം ഒരു കലാകാരനും ബിസിനസുകാരനും വിശ്വസ്തനുമാണ്.","ഡെന്നി, പല ബാർബർമാരെയും പോലെ, ഒരു കലാകാരൻ, ബിസിനസുകാരൻ, വിശ്വസ്തൻ എന്നിവയേക്കാൾ കൂടുതലാണ്...................................................................................................................................................................................................................................","ഡെന്നി, പല ബാർബർമാരെപ്പോലെ, ഒരു കലാകാരൻ, ഒരു ബിസിനസുകാരൻ, വിശ്വസ്തൻ എന്നിവയേക്കാൾ കൂടുതലാണ്."
He's a leader and a passionate advocate for the well-being of his community.,അദ്ദേഹം ഒരു നേതാവാണ് സ്വന്തം സമൂഹനന്മക്ക് വേണ്ടി തീഷ്ണമായി വാദിക്കുന്നയാളുമാണ്.,അദ്ദേഹം ഒരു നേതാവും തൻ്റെ സമൂഹത്തിൻ്റെ ക്ഷേമത്തിനായി വാദിക്കുന്ന ആളുമാണ്.,അദ്ദേഹം ഒരു നേതാവും തൻ്റെ സമൂഹത്തിൻ്റെ ക്ഷേമത്തിനുവേണ്ടിയുള്ള അഭിനിവേശമുള്ള അഭിഭാഷകനുമാണ്.........................................................................................................................................................................................................................................,അദ്ദേഹം ഒരു നേതാവും തന്റെ സമൂഹത്തിന്റെ ക്ഷേമത്തിനായുള്ള വികാരാധീനനായ അഭിഭാഷകനുമാണ്.
What is your barbershop?,എന്താണ് നിങ്ങളുടെ ബാർബർഷോപ്പ്?,നിങ്ങളുടെ ബാർബർഷോപ്പ് എന്താണ്?,നിങ്ങളുടെ ബാർബർ ഷോപ്പ് എന്താണ്?......................................................................................................................................................................................................................................................,നിങ്ങളുടെ ബാർബർഷോപ്പ് എന്താണ്?
And they start to diverge when the Ohio River split them a few million years ago.,അവ തമ്മിലുള്ള ഭിന്നത ആരംഭിച്ചത് ഒഹായോ നദി അവയെ പകുത്തപ്പോഴാണ്. വര് ഷങ്ങള് ക്ക് മുമ്പ്.,ഏതാനും ദശലക്ഷക്കണക്കിന് വർഷങ്ങൾക്ക് മുമ്പ് ഒഹായോ നദി അവരെ പിളർന്നപ്പോൾ അവ വ്യതിചലിക്കാൻ തുടങ്ങുന്നു.,ഏതാനും ദശലക്ഷം വർഷങ്ങൾക്ക് മുമ്പ് ഒഹായോ നദി വിഭജിക്കുമ്പോൾ അവ വേർപിരിയാൻ തുടങ്ങുന്നു.,ഏതാനും ദശലക്ഷം വർഷങ്ങൾക്ക് മുമ്പ് ഒഹായോ നദി അവയെ വിഭജിച്ചപ്പോൾ അവർ വേർപിരിയാൻ തുടങ്ങുന്നു.
Who was running for president?,ആരാണ് പ്രസിഡന്റാകാൻ മത്സരിക്കുന്നത്?,ആരാണ് പ്രസിഡൻ്റ് സ്ഥാനത്തേക്ക് മത്സരിച്ചത്?,ആരാണ് പ്രസിഡൻ്റ് സ്ഥാനത്തേക്ക് മത്സരിച്ചിരുന്നത്?...................................................................................................................................................................................................................................................,ആരായിരുന്നു പ്രസിഡന്റ് സ്ഥാനത്തേക്ക് മത്സരിച്ചത്?
You don't know who I am.,ഞാൻ ആരാണെന്ന് നിനക്കറിയില്ല.,ഞാൻ ആരാണെന്ന് നിനക്ക് അറിയില്ല.,ഞാൻ ആരാണെന്ന് നിങ്ങൾക്കറിയില്ല.,ഞാനാരാണെന്ന് നിനക്കറിയില്ല.
We plan to stay a week.,ഞങ്ങൾ ഒരാഴ്ച തങ്ങാനാണ് ആലോചിക്കുന്നത്.,ഒരാഴ്ച താമസിക്കാൻ ഞങ്ങൾ പദ്ധതിയിടുന്നു.,ഒരാഴ്ച താമസിക്കാൻ ഞങ്ങൾ പദ്ധതിയിടുന്നു......................................................................................................................................................................................................................................................,ഞങ്ങൾ ഒരാഴ്ച്ച താമസിക്കാൻ പദ്ധതി.
Do you know who conquered Mt. Everest first?,എവറസ്റ്റ് കൊടുമുടി ആദ്യമായി കീഴടക്കിയതാരാണെന്ന് നിനക്കറിയാമോ?,ആദ്യമായി എവറസ്റ്റ് കീഴടക്കിയതാരാണെന്ന് അറിയാമോ?,എവറസ്റ്റ് കൊടുമുടി ആദ്യം കീഴടക്കിയത് ആരാണെന്ന് നിങ്ങൾക്കറിയാമോ?,മൌണ്ട് എവറസ്റ്റ് ആദ്യമായി കീഴടക്കിയത് ആരാണെന്ന് അറിയാമോ?
That's impossible.,അത് അസാധ്യമാണ്.,അത് അസാധ്യമാണ്.,അത് അസാധ്യമാണ്.,അത് അസാധ്യമാണ്.
How does this disease spread?,ഈ രോഗം എങ്ങനെയാണ് പടരുന്നത്?,എങ്ങനെയാണ് ഈ രോഗം പടരുന്നത്?,ഈ രോഗം എങ്ങനെ വ്യാപിക്കുന്നു?,എങ്ങനെയാണ് ഈ രോഗം പടരുന്നത്?
This is the place where the battle took place.,ഈ സ്ഥലത്താണ് ആ യുദ്ധം നടന്നത്.,യുദ്ധം നടന്ന സ്ഥലമാണിത്.,യുദ്ധം നടന്ന സ്ഥലമാണിത്.,ഇവിടെയാണ് യുദ്ധം നടന്നത്.
Do you know what time that accident happened?,എത്ര മണിക്കാണ് അപകടം നടന്നതെന്ന് നിനക്കറിയാമോ?,ആ അപകടം സംഭവിച്ചത് എപ്പോഴാണെന്ന് അറിയാമോ?,ആ അപകടം എപ്പോഴാണെന്ന് നിങ്ങൾക്കറിയാമോ?,എത്ര മണിയ്ക്കായിരുന്നു ആ അപകടം നടന്നതെന്ന് അറിയാമോ?
We go to school to study.,ഞങ്ങൾ സ്കൂളിലേക്ക് പഠിക്കാനാണ് പോകുന്നത്.,ഞങ്ങൾ പഠിക്കാൻ സ്കൂളിൽ പോകുന്നു.,ഞങ്ങൾ സ്കൂളിൽ പോയി പഠിക്കുന്നു.,ഞങ്ങള്‍ സ് കൂളില്‍ പോയി പഠിക്കും.
I came to Japan two years ago.,ഞാൻ ജപ്പാനിൽ രണ്ട് വർഷം മുമ്പാണ് വന്നത്.,രണ്ട് വർഷം മുമ്പാണ് ഞാൻ ജപ്പാനിൽ വന്നത്.,രണ്ട് വർഷം മുമ്പാണ് ഞാൻ ജപ്പാനിൽ വന്നത്.,രണ്ടു വർഷം മുമ്പാണ് ഞാൻ ജപ്പാനിലെത്തിയത്.
I bought this book yesterday.,ഞാൻ ഈ പുസ്തകം ഇന്നലെയാണ് വാങ്ങിച്ചത്.,ഞാൻ ഇന്നലെ ഈ പുസ്തകം വാങ്ങി.,ഞാൻ ഇന്നലെ ഈ പുസ്തകം വാങ്ങി.,ഇന്നലെയാണ് ഈ പുസ്തകം വാങ്ങിയത്.
What else do you want?,വേറെ എന്താണ് നിനക്ക് വേണ്ടത്?,നിങ്ങൾക്ക് മറ്റെന്താണ് വേണ്ടത്?,നിങ്ങൾക്ക് മറ്റെന്താണ് വേണ്ടത്?,വേറെന്താണ് വേണ്ടത്?
He was born in Africa.,അവൻ ആഫ്രിക്കയിലാണ് ജനിച്ചത്.,ആഫ്രിക്കയിലാണ് അദ്ദേഹം ജനിച്ചത്.,ആഫ്രിക്കയിലാണ് അദ്ദേഹം ജനിച്ചത്.,ആഫ്രിക്കയിലാണ് ജനനം.
He asked her where she lived.,അവൻ അവൾ എവിടെയാണ് താമസിക്കുന്നത് എന്നു ചോദിച്ചു.,അവൾ എവിടെയാണ് താമസിക്കുന്നതെന്ന് അവൻ അവളോട് ചോദിച്ചു.,അവൾ എവിടെയാണ് താമസിക്കുന്നതെന്ന് അവൻ അവളോട് ചോദിച്ചു.,എവിടെയാണ് താമസമെന്ന് ചോദിച്ചു.
They are willing to do it for you.,അവർ നിനക്ക് വേണ്ടി അത് ചെയ്യാൻ തയ്യാറാണ്.,നിങ്ങൾക്കായി അത് ചെയ്യാൻ അവർ തയ്യാറാണ്.,നിങ്ങൾക്കുവേണ്ടി അത് ചെയ്യാൻ അവർ തയ്യാറാണ്.,അവർ നിങ്ങൾക്കായി അത് ചെയ്യാൻ തയ്യാറാണ്.
Do you know what color she likes?,അവൾക്കേതു നിറമാണ് ഇഷ്ടമുള്ളതെന്ന് നിനക്ക് അറിയാമോ?,അവൾക്ക് ഏത് നിറമാണ് ഇഷ്ടമെന്ന് അറിയാമോ?,അവൾക്ക് ഏത് നിറമാണ് ഇഷ്ടമെന്ന് നിങ്ങൾക്കറിയാമോ?,അവൾക്കിഷ്ടമുള്ള നിറമെന്താണെന്നറിയാമോ?
I'm awake.,ഞാൻ ഉണർന്നിരിക്കുകയാണ്.,ഞാൻ ഉണർന്നിരിക്കുന്നു.,ഞാൻ ഉണർന്നിരിക്കുന്നു.,ഞാൻ ഉണർന്നിരിക്കുന്നു.
Wild animals live in the forest.,വന്യ മൃഗങ്ങള്‍ കാട്ടിലാണ് ജീവിക്കുന്നത്.,വന്യമൃഗങ്ങൾ വനത്തിൽ വസിക്കുന്നു.,വന്യമൃഗങ്ങൾ വനത്തിൽ വസിക്കുന്നു.,വന്യമൃഗങ്ങൾ കാട്ടിലാണ് ജീവിക്കുന്നത്.
How do you say this word?,ഈ വാക്ക് എങ്ങനെയാണ് ഉച്ചരിക്കുന്നത്.,ഈ വാക്ക് നിങ്ങൾ എങ്ങനെയാണ് പറയുന്നത്?,നിങ്ങൾ എങ്ങനെയാണ് ഈ വാക്ക് പറയുന്നത്?,ഈ വാക്ക് എങ്ങനെ പറയും?
What did you do yesterday evening?,നീ ഇന്നലെ വൈകുന്നേരം എന്താണ് ചെയ്തത്?,ഇന്നലെ വൈകുന്നേരം നിങ്ങൾ എന്താണ് ചെയ്തത്?,ഇന്നലെ വൈകുന്നേരം നിങ്ങൾ എന്താണ് ചെയ്തത്?,ഇന്നലെ രാത്രി നീ എന്താ ചെയ്തത്?
I like you.,എനിക്ക് നിന്നെ ഇഷ്ടമാണ്.,ഞാൻ നിന്നെ ഇഷ്ടപ്പെടുന്നു.,എനിക്ക് നിന്നെ ഇഷ്ടമാണ്.,എനിക്ക് നിന്നെ ഇഷ്ടമാണ്.
My favourite sport is football.,കാൽപ്പന്താണ് എനിക്ക് എറ്റവും ഇഷ്ടമുള്ള കളി.,എൻ്റെ പ്രിയപ്പെട്ട കായിക വിനോദം ഫുട്ബോൾ ആണ്.,എനിക്ക് ഏറ്റവും ഇഷ്ടമുള്ള കായികവിനോദമാണ് ഫുട്ബോൾ.,എനിക്ക് ഏറ്റവും ഇഷ്ടമുള്ള കായികവിനോദം ഫുട്ബോള്‍ ആണ്.
What should I do?,ഞാൻ എന്താണ് ചെയ്യേണ്ടത്?,ഞാൻ എന്ത് ചെയ്യണം?,ഞാൻ എന്താണ് ചെയ്യേണ്ടത്?,ഞാനെന്തു ചെയ്യണം?
What year were you born?,നിങ്ങള്‍ ഏതു വര്‍ഷമാണ് ജനിച്ചത്?,ഏത് വർഷമാണ് നിങ്ങൾ ജനിച്ചത്?,നിങ്ങൾ ജനിച്ചത് ഏത് വർഷമാണ്?,ഏത് വർഷമാണ് നിങ്ങൾ ജനിച്ചത്?
